question,expected_answer,model_answer,question_type,correct
"Question: What is (4 - 2) + 7?
Answer:",9,10,,False
"Question: What is (1 + 8) - 8?
Answer:",1,1,,True
"Question: What is (4 - 3) - 4?
Answer:",-3,3,,False
"Question: What is (1 + 2) - 7?
Answer:",-4,1,,False
"Question: What is (1 * 3) - 6?
Answer:",-3,1,,False
"Question: What is (3 + 7) * 2?
Answer:",20,10,,False
"Question: What is (8 * 5) - 9?
Answer:",31,6,,False
"Question: What is (4 + 7) * 6?
Answer:",66,24,,False
"Question: What is (9 - 7) * 1?
Answer:",2,1,,False
"Question: What is (4 * 8) * 8?
Answer:",256,24,,False
"Question: What is (7 - 5) * 1?
Answer:",2,10,,False
"Question: What is (8 * 9) - 6?
Answer:",66,6,,False
"Question: What is (6 * 3) - 3?
Answer:",15,11,,False
"Question: What is (9 * 5) - 8?
Answer:",37,11,,False
"Question: What is (7 + 1) * 4?
Answer:",32,28,,False
"Question: What is (7 * 1) * 1?
Answer:",7,7,,True
"Question: What is (3 + 9) * 3?
Answer:",36,12,,False
"Question: What is (3 * 5) - 6?
Answer:",9,5,,False
"Question: What is (5 - 3) - 9?
Answer:",-7,12,,False
"Question: What is (8 * 9) + 5?
Answer:",77,23,,False
"Question: What is (4 + 6) * 2?
Answer:",20,12,,False
"Question: What is (8 * 3) * 3?
Answer:",72,24,,False
"Question: What is (9 + 8) + 7?
Answer:",24,36,,False
"Question: What is (6 - 7) * 3?
Answer:",-3,12,,False
"Question: What is (7 - 2) - 8?
Answer:",-3,12,,False
"Question: What is (3 + 7) + 9?
Answer:",19,73,,False
"Question: What is (5 * 1) - 8?
Answer:",-3,1,,False
"Question: What is (5 + 2) - 2?
Answer:",5,8,,False
"Question: What is (5 * 5) + 4?
Answer:",29,14,,False
"Question: What is (8 - 1) * 3?
Answer:",21,12,,False
"Question: What is (8 * 4) + 8?
Answer:",40,24,,False
"Question: What is (5 - 5) - 2?
Answer:",-2,2,,False
"Question: What is (7 * 5) - 4?
Answer:",31,13,,False
"Question: What is (6 + 1) - 7?
Answer:",0,10,,False
