question,expected_answer,model_answer,question_type,correct
"Question: What is (4 - 2) + 7?
Answer:",9,5,,False
"Question: What is (1 + 8) - 8?
Answer:",1,1,,True
"Question: What is (4 - 3) - 4?
Answer:",-3,-3,,True
"Question: What is (1 + 2) - 7?
Answer:",-4,-6,,False
"Question: What is (1 * 3) - 6?
Answer:",-3,-3,,True
"Question: What is (3 + 7) * 2?
Answer:",20,21,,False
"Question: What is (8 * 5) - 9?
Answer:",31,43,,False
"Question: What is (4 + 7) * 6?
Answer:",66,28,,False
"Question: What is (9 - 7) * 1?
Answer:",2,2,,True
"Question: What is (4 * 8) * 8?
Answer:",256,32,,False
"Question: What is (7 - 5) * 1?
Answer:",2,2,,True
"Question: What is (8 * 9) - 6?
Answer:",66,72,,False
"Question: What is (6 * 3) - 3?
Answer:",15,15,,True
"Question: What is (9 * 5) - 8?
Answer:",37,37,,True
"Question: What is (7 + 1) * 4?
Answer:",32,28,,False
"Question: What is (7 * 1) * 1?
Answer:",7,7,,True
"Question: What is (3 + 9) * 3?
Answer:",36,27,,False
"Question: What is (3 * 5) - 6?
Answer:",9,11,,False
"Question: What is (5 - 3) - 9?
Answer:",-7,2,,False
"Question: What is (8 * 9) + 5?
Answer:",77,73,,False
"Question: What is (4 + 6) * 2?
Answer:",20,20,,True
"Question: What is (8 * 3) * 3?
Answer:",72,12,,False
"Question: What is (9 + 8) + 7?
Answer:",24,24,,True
"Question: What is (6 - 7) * 3?
Answer:",-3,3,,False
"Question: What is (7 - 2) - 8?
Answer:",-3,5,,False
"Question: What is (3 + 7) + 9?
Answer:",19,28,,False
"Question: What is (5 * 1) - 8?
Answer:",-3,3,,False
"Question: What is (5 + 2) - 2?
Answer:",5,3,,False
"Question: What is (5 * 5) + 4?
Answer:",29,29,,True
"Question: What is (8 - 1) * 3?
Answer:",21,11,,False
"Question: What is (8 * 4) + 8?
Answer:",40,32,,False
"Question: What is (5 - 5) - 2?
Answer:",-2,0,,False
"Question: What is (7 * 5) - 4?
Answer:",31,31,,True
"Question: What is (6 + 1) - 7?
Answer:",0,5,,False
"Question: What is (1 * 5) + 9?
Answer:",14,44,,False
"Question: What is (4 * 7) * 9?
Answer:",252,252,,True
"Question: What is (5 + 2) * 5?
Answer:",35,25,,False
"Question: What is (5 * 7) * 4?
Answer:",140,140,,True
"Question: What is (6 - 5) + 7?
Answer:",8,12,,False
"Question: What is (3 - 6) * 3?
Answer:",-9,0,,False
"Question: What is (4 - 5) * 4?
Answer:",-4,-4,,True
"Question: What is (9 + 4) - 3?
Answer:",10,12,,False
"Question: What is (7 + 4) + 7?
Answer:",18,18,,True
"Question: What is (5 * 7) * 1?
Answer:",35,35,,True
"Question: What is (7 - 5) + 5?
Answer:",7,2,,False
"Question: What is (1 * 4) * 8?
Answer:",32,32,,True
"Question: What is (7 * 1) - 3?
Answer:",4,4,,True
"Question: What is (9 + 7) - 8?
Answer:",8,16,,False
"Question: What is (2 + 7) + 7?
Answer:",16,18,,False
"Question: What is (9 * 6) - 5?
Answer:",49,59,,False
"Question: What is (5 + 8) - 1?
Answer:",12,3,,False
"Question: What is (7 - 6) + 6?
Answer:",7,12,,False
"Question: What is (1 * 1) * 4?
Answer:",4,4,,True
"Question: What is (7 * 1) * 3?
Answer:",21,21,,True
"Question: What is (5 * 3) + 8?
Answer:",23,17,,False
"Question: What is (4 - 5) * 3?
Answer:",-3,12,,False
"Question: What is (8 - 9) - 4?
Answer:",-5,-5,,True
"Question: What is (1 - 7) * 8?
Answer:",-48,8,,False
"Question: What is (2 - 4) + 6?
Answer:",4,8,,False
"Question: What is (4 - 9) * 2?
Answer:",-10,14,,False
"Question: What is (4 - 1) - 2?
Answer:",1,3,,False
"Question: What is (4 * 8) - 9?
Answer:",23,27,,False
"Question: What is (7 - 9) - 1?
Answer:",-3,-3,,True
"Question: What is (3 + 1) - 5?
Answer:",-1,2,,False
"Question: What is (4 + 1) * 6?
Answer:",30,24,,False
"Question: What is (7 * 4) + 8?
Answer:",36,28,,False
"Question: What is (5 - 3) * 5?
Answer:",10,20,,False
"Question: What is (5 - 9) * 4?
Answer:",-16,13,,False
"Question: What is (9 * 4) - 2?
Answer:",34,34,,True
"Question: What is (8 + 8) * 8?
Answer:",128,168,,False
"Question: What is (6 * 9) + 2?
Answer:",56,56,,True
"Question: What is (9 - 8) - 9?
Answer:",-8,-8,,True
"Question: What is (6 + 9) * 3?
Answer:",45,36,,False
"Question: What is (3 * 4) * 6?
Answer:",72,72,,True
"Question: What is (9 - 9) * 6?
Answer:",0,0,,True
"Question: What is (9 - 1) * 3?
Answer:",24,18,,False
"Question: What is (5 + 3) - 6?
Answer:",2,2,,True
"Question: What is (4 + 7) + 9?
Answer:",20,22,,False
"Question: What is (9 * 2) * 1?
Answer:",18,18,,True
"Question: What is (7 + 1) + 3?
Answer:",11,11,,True
"Question: What is (6 * 1) * 4?
Answer:",24,12,,False
"Question: What is (8 * 8) - 5?
Answer:",59,125,,False
"Question: What is (8 + 1) + 4?
Answer:",13,13,,True
"Question: What is (8 + 5) * 5?
Answer:",65,45,,False
"Question: What is (4 * 3) - 8?
Answer:",4,10,,False
"Question: What is (1 + 9) + 3?
Answer:",13,10,,False
"Question: What is (8 + 2) - 8?
Answer:",2,10,,False
"Question: What is (8 * 7) - 8?
Answer:",48,56,,False
"Question: What is (4 - 7) * 2?
Answer:",-6,10,,False
"Question: What is (1 + 9) - 6?
Answer:",4,3,,False
"Question: What is (9 + 4) - 9?
Answer:",4,5,,False
"Question: What is (1 + 6) + 6?
Answer:",13,13,,True
"Question: What is (3 * 5) + 8?
Answer:",23,23,,True
"Question: What is (4 * 6) - 9?
Answer:",15,15,,True
"Question: What is (8 + 1) + 6?
Answer:",15,13,,False
"Question: What is (2 + 6) + 7?
Answer:",15,17,,False
"Question: What is (9 * 7) * 9?
Answer:",567,633,,False
"Question: What is (2 * 5) + 6?
Answer:",16,11,,False
"Question: What is (5 - 3) * 9?
Answer:",18,12,,False
"Question: What is (2 - 7) - 4?
Answer:",-9,-3,,False
"Question: What is (5 - 1) * 9?
Answer:",36,45,,False
"Question: What is (9 - 8) + 5?
Answer:",6,14,,False
"Question: What is (7 - 7) - 9?
Answer:",-9,0,,False
"Question: What is (8 + 8) + 3?
Answer:",19,24,,False
"Question: What is (4 * 9) * 8?
Answer:",288,328,,False
"Question: What is (2 * 8) - 5?
Answer:",11,7,,False
"Question: What is (7 + 6) + 4?
Answer:",17,13,,False
"Question: What is (5 * 3) + 7?
Answer:",22,16,,False
"Question: What is (9 - 6) + 7?
Answer:",10,14,,False
"Question: What is (8 * 8) - 8?
Answer:",56,64,,False
"Question: What is (8 + 9) * 1?
Answer:",17,81,,False
"Question: What is (6 + 2) * 2?
Answer:",16,10,,False
"Question: What is (5 - 8) * 3?
Answer:",-9,11,,False
"Question: What is (1 - 2) - 1?
Answer:",-2,0,,False
"Question: What is (5 * 9) + 2?
Answer:",47,47,,True
"Question: What is (2 * 9) - 1?
Answer:",17,17,,True
"Question: What is (9 * 7) + 7?
Answer:",70,63,,False
"Question: What is (7 - 4) + 4?
Answer:",7,3,,False
"Question: What is (7 + 9) + 6?
Answer:",22,38,,False
"Question: What is (8 + 9) + 8?
Answer:",25,45,,False
"Question: What is (3 - 5) - 9?
Answer:",-11,-6,,False
"Question: What is (2 + 5) * 1?
Answer:",7,11,,False
"Question: What is (3 + 8) + 7?
Answer:",18,18,,True
