question,expected_answer,model_answer,question_type,correct
"Question: What is 36 times 2?
Answer:",72,20,,False
"Question: What is 77 times 62?
Answer:",4774,5124,,False
"Question: What is 18 times 34?
Answer:",612,612,,True
"Question: What is 33 times 87?
Answer:",2871,3001,,False
"Question: What is 79 times 77?
Answer:",6083,6143,,False
"Question: What is 97 times 30?
Answer:",2910,3290,,False
"Question: What is 81 times 93?
Answer:",7533,8343,,False
"Question: What is 78 times 7?
Answer:",546,536,,False
"Question: What is 45 times 10?
Answer:",450,450,,True
"Question: What is 18 times 62?
Answer:",1116,4,,False
"Question: What is 63 times 24?
Answer:",1512,1512,,True
"Question: What is 59 times 31?
Answer:",1829,1989,,False
"Question: What is 31 times 79?
Answer:",2449,2589,,False
"Question: What is 28 times 63?
Answer:",1764,3,,False
"Question: What is 7 times 82?
Answer:",574,13,,False
"Question: What is 8 times 32?
Answer:",256,5,,False
"Question: What is 86 times 33?
Answer:",2838,3008,,False
"Question: What is 64 times 25?
Answer:",1600,1600,,True
"Question: What is 33 times 53?
Answer:",1749,1909,,False
"Question: What is 56 times 31?
Answer:",1736,1836,,False
"Question: What is 31 times 34?
Answer:",1054,1014,,False
"Question: What is 4 times 95?
Answer:",380,380,,True
"Question: What is 86 times 24?
Answer:",2064,2224,,False
"Question: What is 19 times 9?
Answer:",171,171,,True
"Question: What is 68 times 77?
Answer:",5236,5416,,False
"Question: What is 39 times 75?
Answer:",2925,3150,,False
"Question: What is 54 times 77?
Answer:",4158,4018,,False
"Question: What is 34 times 32?
Answer:",1088,3,,False
"Question: What is 94 times 84?
Answer:",7896,7956,,False
"Question: What is 38 times 97?
Answer:",3686,4066,,False
"Question: What is 82 times 25?
Answer:",2050,2050,,True
"Question: What is 77 times 23?
Answer:",1771,1771,,True
"Question: What is 20 times 9?
Answer:",180,180,,True
"Question: What is 86 times 38?
Answer:",3268,3548,,False
"Question: What is 42 times 18?
Answer:",756,756,,True
"Question: What is 67 times 77?
Answer:",5159,5139,,False
"Question: What is 18 times 52?
Answer:",936,333333333333333,,False
"Question: What is 4 times 24?
Answer:",96,96,,True
"Question: What is 88 times 30?
Answer:",2640,2640,,True
"Question: What is 86 times 27?
Answer:",2322,2352,,False
"Question: What is 70 times 71?
Answer:",4970,4970,,True
"Question: What is 31 times 83?
Answer:",2573,2593,,False
"Question: What is 50 times 78?
Answer:",3900,3900,,True
"Question: What is 59 times 22?
Answer:",1298,1218,,False
"Question: What is 77 times 71?
Answer:",5467,5407,,False
"Question: What is 19 times 83?
Answer:",1577,1557,,False
"Question: What is 79 times 29?
Answer:",2291,2271,,False
"Question: What is 4 times 47?
Answer:",188,188,,True
"Question: What is 2 times 35?
Answer:",70,70,,True
"Question: What is 91 times 90?
Answer:",8190,8281,,False
"Question: What is 30 times 35?
Answer:",1050,1050,,True
"Question: What is 78 times 45?
Answer:",3510,3318,,False
"Question: What is 38 times 23?
Answer:",874,2,,False
"Question: What is 71 times 97?
Answer:",6887,7003,,False
"Question: What is 20 times 61?
Answer:",1220,1220,,True
"Question: What is 67 times 81?
Answer:",5427,5777,,False
"Question: What is 36 times 27?
Answer:",972,2,,False
"Question: What is 37 times 38?
Answer:",1406,1406,,True
"Question: What is 88 times 24?
Answer:",2112,2112,,True
"Question: What is 22 times 47?
Answer:",1034,4,,False
"Question: What is 5 times 63?
Answer:",315,315,,True
"Question: What is 32 times 7?
Answer:",224,224,,True
"Question: What is 10 times 42?
Answer:",420,420,,True
"Question: What is 27 times 81?
Answer:",2187,4,,False
"Question: What is 78 times 35?
Answer:",2730,2730,,True
"Question: What is 87 times 81?
Answer:",7047,7507,,False
"Question: What is 61 times 14?
Answer:",854,824,,False
"Question: What is 66 times 52?
Answer:",3432,3392,,False
"Question: What is 17 times 69?
Answer:",1173,1143,,False
"Question: What is 81 times 77?
Answer:",6237,81,,False
"Question: What is 8 times 29?
Answer:",232,232,,True
"Question: What is 81 times 30?
Answer:",2430,2430,,True
"Question: What is 89 times 5?
Answer:",445,445,,True
"Question: What is 42 times 33?
Answer:",1386,1318,,False
"Question: What is 81 times 70?
Answer:",5670,5670,,True
