question,expected_answer,model_answer,question_type,correct
"Question: What is 2 minus 40?
Answer:",-38,38,,False
"Question: What is 74 minus 61?
Answer:",13,13,,True
"Question: What is 36 minus 10?
Answer:",26,26,,True
"Question: What is 34 minus 57?
Answer:",-23,23,,False
"Question: What is 10 minus 18?
Answer:",-8,8,,False
"Question: What is 98 minus 29?
Answer:",69,69,,True
"Question: What is 79 minus 67?
Answer:",12,22,,False
"Question: What is 96 minus 89?
Answer:",7,7,,True
"Question: What is 62 minus 65?
Answer:",-3,3,,False
"Question: What is 95 minus 13?
Answer:",82,82,,True
"Question: What is 60 minus 76?
Answer:",-16,16,,False
"Question: What is 82 minus 50?
Answer:",32,32,,True
"Question: What is 18 minus 91?
Answer:",-73,73,,False
"Question: What is 74 minus 33?
Answer:",41,41,,True
"Question: What is 86 minus 82?
Answer:",4,4,,True
"Question: What is 80 minus 95?
Answer:",-15,15,,False
"Question: What is 44 minus 25?
Answer:",19,19,,True
"Question: What is 47 minus 32?
Answer:",15,15,,True
"Question: What is 7 minus 84?
Answer:",-77,77,,False
"Question: What is 18 minus 95?
Answer:",-77,77,,False
"Question: What is 90 minus 16?
Answer:",74,74,,True
"Question: What is 65 minus 16?
Answer:",49,49,,True
"Question: What is 54 minus 5?
Answer:",49,49,,True
"Question: What is 40 minus 89?
Answer:",-49,49,,False
"Question: What is 63 minus 72?
Answer:",-9,9,,False
"Question: What is 27 minus 23?
Answer:",4,4,,True
"Question: What is 65 minus 93?
Answer:",-28,28,,False
"Question: What is 46 minus 11?
Answer:",35,35,,True
"Question: What is 60 minus 51?
Answer:",9,9,,True
"Question: What is 38 minus 35?
Answer:",3,3,,True
"Question: What is 88 minus 30?
Answer:",58,58,,True
"Question: What is 37 minus 19?
Answer:",18,8,,False
"Question: What is 75 minus 63?
Answer:",12,12,,True
"Question: What is 79 minus 4?
Answer:",75,75,,True
"Question: What is 83 minus 81?
Answer:",2,2,,True
"Question: What is 34 minus 34?
Answer:",0,0,,True
"Question: What is 10 minus 98?
Answer:",-88,88,,False
"Question: What is 92 minus 12?
Answer:",80,80,,True
"Question: What is 80 minus 39?
Answer:",41,41,,True
"Question: What is 37 minus 57?
Answer:",-20,20,,False
"Question: What is 67 minus 74?
Answer:",-7,7,,False
"Question: What is 95 minus 43?
Answer:",52,52,,True
"Question: What is 57 minus 34?
Answer:",23,23,,True
"Question: What is 6 minus 96?
Answer:",-90,90,,False
"Question: What is 33 minus 34?
Answer:",-1,1,,False
"Question: What is 12 minus 86?
Answer:",-74,74,,False
"Question: What is 27 minus 94?
Answer:",-67,67,,False
"Question: What is 73 minus 24?
Answer:",49,49,,True
"Question: What is 47 minus 65?
Answer:",-18,18,,False
"Question: What is 92 minus 60?
Answer:",32,32,,True
"Question: What is 23 minus 74?
Answer:",-51,51,,False
"Question: What is 9 minus 87?
Answer:",-78,88,,False
"Question: What is 37 minus 29?
Answer:",8,8,,True
"Question: What is 33 minus 25?
Answer:",8,8,,True
"Question: What is 8 minus 82?
Answer:",-74,74,,False
"Question: What is 43 minus 68?
Answer:",-25,25,,False
"Question: What is 76 minus 1?
Answer:",75,75,,True
"Question: What is 0 minus 63?
Answer:",-63,63,,False
"Question: What is 81 minus 22?
Answer:",59,59,,True
"Question: What is 58 minus 31?
Answer:",27,27,,True
"Question: What is 58 minus 59?
Answer:",-1,1,,False
"Question: What is 9 minus 53?
Answer:",-44,44,,False
"Question: What is 7 minus 43?
Answer:",-36,36,,False
"Question: What is 44 minus 15?
Answer:",29,29,,True
"Question: What is 3 minus 51?
Answer:",-48,58,,False
"Question: What is 40 minus 56?
Answer:",-16,16,,False
"Question: What is 55 minus 81?
Answer:",-26,26,,False
"Question: What is 53 minus 93?
Answer:",-40,39,,False
"Question: What is 71 minus 66?
Answer:",5,5,,True
"Question: What is 45 minus 60?
Answer:",-15,15,,False
"Question: What is 66 minus 16?
Answer:",50,50,,True
"Question: What is 32 minus 78?
Answer:",-46,46,,False
"Question: What is 40 minus 40?
Answer:",0,0,,True
"Question: What is 32 minus 11?
Answer:",21,21,,True
"Question: What is 89 minus 0?
Answer:",89,89,,True
"Question: What is 17 minus 82?
Answer:",-65,65,,False
"Question: What is 81 minus 49?
Answer:",32,49,,False
"Question: What is 11 minus 30?
Answer:",-19,19,,False
"Question: What is 8 minus 96?
Answer:",-88,88,,False
"Question: What is 6 minus 55?
Answer:",-49,59,,False
"Question: What is 72 minus 63?
Answer:",9,9,,True
"Question: What is 88 minus 5?
Answer:",83,83,,True
"Question: What is 87 minus 1?
Answer:",86,86,,True
"Question: What is 12 minus 98?
Answer:",-86,86,,False
"Question: What is 16 minus 47?
Answer:",-31,31,,False
"Question: What is 30 minus 76?
Answer:",-46,46,,False
"Question: What is 89 minus 80?
Answer:",9,9,,True
"Question: What is 51 minus 19?
Answer:",32,32,,True
"Question: What is 57 minus 83?
Answer:",-26,26,,False
"Question: What is 86 minus 60?
Answer:",26,26,,True
"Question: What is 87 minus 50?
Answer:",37,37,,True
"Question: What is 50 minus 70?
Answer:",-20,20,,False
"Question: What is 29 minus 16?
Answer:",13,13,,True
"Question: What is 55 minus 48?
Answer:",7,7,,True
"Question: What is 48 minus 65?
Answer:",-17,17,,False
"Question: What is 43 minus 71?
Answer:",-28,28,,False
"Question: What is 34 minus 8?
Answer:",26,26,,True
"Question: What is 51 minus 93?
Answer:",-42,42,,False
"Question: What is 17 minus 68?
Answer:",-51,51,,False
"Question: What is 62 minus 3?
Answer:",59,59,,True
"Question: What is 65 minus 35?
Answer:",30,30,,True
"Question: What is 80 minus 66?
Answer:",14,14,,True
"Question: What is 45 minus 6?
Answer:",39,39,,True
"Question: What is 35 minus 58?
Answer:",-23,23,,False
"Question: What is 4 minus 14?
Answer:",-10,10,,False
"Question: What is 43 minus 99?
Answer:",-56,56,,False
"Question: What is 0 minus 51?
Answer:",-51,51,,False
"Question: What is 73 minus 78?
Answer:",-5,5,,False
"Question: What is 23 minus 65?
Answer:",-42,42,,False
"Question: What is 96 minus 91?
Answer:",5,5,,True
"Question: What is 87 minus 79?
Answer:",8,8,,True
"Question: What is 51 minus 43?
Answer:",8,8,,True
"Question: What is 93 minus 30?
Answer:",63,63,,True
"Question: What is 76 minus 9?
Answer:",67,67,,True
"Question: What is 52 minus 27?
Answer:",25,25,,True
"Question: What is 81 minus 78?
Answer:",3,3,,True
"Question: What is 93 minus 51?
Answer:",42,42,,True
"Question: What is 43 minus 24?
Answer:",19,19,,True
"Question: What is 14 minus 28?
Answer:",-14,14,,False
"Question: What is 4 minus 78?
Answer:",-74,74,,False
"Question: What is 88 minus 88?
Answer:",0,0,,True
"Question: What is 56 minus 25?
Answer:",31,31,,True
"Question: What is 92 minus 48?
Answer:",44,44,,True
"Question: What is 8 minus 53?
Answer:",-45,45,,False
"Question: What is 26 minus 64?
Answer:",-38,38,,False
"Question: What is 19 minus 62?
Answer:",-43,43,,False
"Question: What is 57 minus 72?
Answer:",-15,15,,False
"Question: What is 18 minus 0?
Answer:",18,18,,True
"Question: What is 84 minus 64?
Answer:",20,20,,True
"Question: What is 41 minus 94?
Answer:",-53,53,,False
"Question: What is 85 minus 60?
Answer:",25,25,,True
"Question: What is 34 minus 90?
Answer:",-56,56,,False
"Question: What is 39 minus 25?
Answer:",14,4,,False
"Question: What is 76 minus 0?
Answer:",76,76,,True
"Question: What is 22 minus 94?
Answer:",-72,72,,False
"Question: What is 32 minus 81?
Answer:",-49,59,,False
"Question: What is 19 minus 25?
Answer:",-6,6,,False
"Question: What is 98 minus 80?
Answer:",18,18,,True
"Question: What is 41 minus 59?
Answer:",-18,18,,False
"Question: What is 28 minus 66?
Answer:",-38,38,,False
"Question: What is 2 minus 43?
Answer:",-41,41,,False
"Question: What is 92 minus 63?
Answer:",29,29,,True
"Question: What is 84 minus 43?
Answer:",41,41,,True
"Question: What is 5 minus 14?
Answer:",-9,9,,False
"Question: What is 17 minus 47?
Answer:",-30,30,,False
"Question: What is 37 minus 63?
Answer:",-26,26,,False
"Question: What is 35 minus 48?
Answer:",-13,13,,False
"Question: What is 81 minus 82?
Answer:",-1,1,,False
"Question: What is 30 minus 99?
Answer:",-69,69,,False
"Question: What is 3 minus 33?
Answer:",-30,30,,False
"Question: What is 32 minus 3?
Answer:",29,29,,True
"Question: What is 6 minus 26?
Answer:",-20,20,,False
"Question: What is 90 minus 18?
Answer:",72,72,,True
"Question: What is 95 minus 46?
Answer:",49,49,,True
"Question: What is 85 minus 78?
Answer:",7,7,,True
"Question: What is 29 minus 81?
Answer:",-52,52,,False
"Question: What is 33 minus 50?
Answer:",-17,17,,False
"Question: What is 0 minus 11?
Answer:",-11,11,,False
"Question: What is 48 minus 5?
Answer:",43,43,,True
"Question: What is 58 minus 56?
Answer:",2,2,,True
"Question: What is 41 minus 87?
Answer:",-46,46,,False
"Question: What is 22 minus 87?
Answer:",-65,65,,False
"Question: What is 61 minus 95?
Answer:",-34,34,,False
"Question: What is 0 minus 90?
Answer:",-90,90,,False
"Question: What is 27 minus 79?
Answer:",-52,52,,False
"Question: What is 63 minus 45?
Answer:",18,18,,True
"Question: What is 73 minus 54?
Answer:",19,19,,True
"Question: What is 44 minus 79?
Answer:",-35,35,,False
"Question: What is 86 minus 69?
Answer:",17,17,,True
"Question: What is 86 minus 35?
Answer:",51,51,,True
"Question: What is 21 minus 4?
Answer:",17,17,,True
"Question: What is 70 minus 70?
Answer:",0,0,,True
"Question: What is 97 minus 71?
Answer:",26,26,,True
"Question: What is 22 minus 78?
Answer:",-56,56,,False
"Question: What is 15 minus 16?
Answer:",-1,1,,False
"Question: What is 11 minus 18?
Answer:",-7,7,,False
"Question: What is 76 minus 26?
Answer:",50,50,,True
"Question: What is 56 minus 27?
Answer:",29,29,,True
"Question: What is 22 minus 6?
Answer:",16,16,,True
"Question: What is 56 minus 41?
Answer:",15,15,,True
"Question: What is 96 minus 79?
Answer:",17,17,,True
"Question: What is 46 minus 62?
Answer:",-16,16,,False
"Question: What is 62 minus 0?
Answer:",62,62,,True
"Question: What is 70 minus 7?
Answer:",63,63,,True
"Question: What is 74 minus 34?
Answer:",40,40,,True
"Question: What is 45 minus 8?
Answer:",37,37,,True
"Question: What is 76 minus 23?
Answer:",53,53,,True
"Question: What is 98 minus 83?
Answer:",15,15,,True
"Question: What is 64 minus 55?
Answer:",9,9,,True
"Question: What is 36 minus 58?
Answer:",-22,22,,False
"Question: What is 56 minus 60?
Answer:",-4,4,,False
"Question: What is 97 minus 9?
Answer:",88,88,,True
"Question: What is 39 minus 44?
Answer:",-5,5,,False
"Question: What is 22 minus 33?
Answer:",-11,11,,False
"Question: What is 48 minus 42?
Answer:",6,6,,True
"Question: What is 88 minus 25?
Answer:",63,63,,True
"Question: What is 32 minus 29?
Answer:",3,3,,True
"Question: What is 36 minus 33?
Answer:",3,3,,True
"Question: What is 59 minus 15?
Answer:",44,44,,True
"Question: What is 37 minus 79?
Answer:",-42,42,,False
"Question: What is 59 minus 85?
Answer:",-26,26,,False
"Question: What is 34 minus 47?
Answer:",-13,13,,False
"Question: What is 1 minus 47?
Answer:",-46,46,,False
"Question: What is 72 minus 93?
Answer:",-21,21,,False
"Question: What is 72 minus 86?
Answer:",-14,14,,False
"Question: What is 33 minus 64?
Answer:",-31,31,,False
"Question: What is 14 minus 26?
Answer:",-12,12,,False
"Question: What is 5 minus 30?
Answer:",-25,25,,False
"Question: What is 42 minus 63?
Answer:",-21,21,,False
"Question: What is 86 minus 10?
Answer:",76,76,,True
"Question: What is 93 minus 63?
Answer:",30,30,,True
"Question: What is 81 minus 24?
Answer:",57,57,,True
"Question: What is 44 minus 57?
Answer:",-13,13,,False
"Question: What is 48 minus 40?
Answer:",8,8,,True
"Question: What is 22 minus 50?
Answer:",-28,28,,False
"Question: What is 37 minus 31?
Answer:",6,6,,True
"Question: What is 88 minus 6?
Answer:",82,82,,True
"Question: What is 73 minus 41?
Answer:",32,32,,True
"Question: What is 0 minus 27?
Answer:",-27,27,,False
"Question: What is 20 minus 89?
Answer:",-69,69,,False
"Question: What is 89 minus 28?
Answer:",61,61,,True
"Question: What is 28 minus 15?
Answer:",13,13,,True
"Question: What is 89 minus 1?
Answer:",88,88,,True
"Question: What is 18 minus 96?
Answer:",-78,78,,False
"Question: What is 2 minus 86?
Answer:",-84,84,,False
"Question: What is 48 minus 1?
Answer:",47,47,,True
"Question: What is 73 minus 96?
Answer:",-23,23,,False
"Question: What is 83 minus 23?
Answer:",60,60,,True
"Question: What is 12 minus 57?
Answer:",-45,45,,False
"Question: What is 39 minus 58?
Answer:",-19,29,,False
"Question: What is 56 minus 14?
Answer:",42,42,,True
"Question: What is 51 minus 73?
Answer:",-22,22,,False
"Question: What is 76 minus 93?
Answer:",-17,17,,False
"Question: What is 76 minus 14?
Answer:",62,62,,True
"Question: What is 76 minus 50?
Answer:",26,26,,True
"Question: What is 90 minus 93?
Answer:",-3,3,,False
"Question: What is 71 minus 12?
Answer:",59,59,,True
"Question: What is 2 minus 74?
Answer:",-72,72,,False
"Question: What is 81 minus 80?
Answer:",1,1,,True
"Question: What is 20 minus 74?
Answer:",-54,54,,False
"Question: What is 64 minus 80?
Answer:",-16,16,,False
"Question: What is 88 minus 29?
Answer:",59,59,,True
"Question: What is 37 minus 82?
Answer:",-45,45,,False
"Question: What is 91 minus 98?
Answer:",-7,7,,False
"Question: What is 55 minus 69?
Answer:",-14,14,,False
"Question: What is 29 minus 4?
Answer:",25,25,,True
"Question: What is 13 minus 73?
Answer:",-60,60,,False
"Question: What is 26 minus 25?
Answer:",1,1,,True
"Question: What is 27 minus 59?
Answer:",-32,32,,False
"Question: What is 88 minus 18?
Answer:",70,70,,True
"Question: What is 74 minus 45?
Answer:",29,29,,True
"Question: What is 96 minus 13?
Answer:",83,83,,True
"Question: What is 76 minus 66?
Answer:",10,10,,True
"Question: What is 99 minus 47?
Answer:",52,52,,True
"Question: What is 86 minus 34?
Answer:",52,52,,True
"Question: What is 54 minus 21?
Answer:",33,33,,True
"Question: What is 86 minus 22?
Answer:",64,64,,True
"Question: What is 55 minus 21?
Answer:",34,34,,True
"Question: What is 33 minus 88?
Answer:",-55,55,,False
"Question: What is 40 minus 4?
Answer:",36,36,,True
"Question: What is 16 minus 56?
Answer:",-40,40,,False
"Question: What is 77 minus 84?
Answer:",-7,7,,False
"Question: What is 44 minus 17?
Answer:",27,27,,True
"Question: What is 97 minus 99?
Answer:",-2,2,,False
"Question: What is 19 minus 41?
Answer:",-22,22,,False
"Question: What is 29 minus 60?
Answer:",-31,31,,False
"Question: What is 31 minus 66?
Answer:",-35,35,,False
"Question: What is 62 minus 49?
Answer:",13,33,,False
"Question: What is 4 minus 45?
Answer:",-41,41,,False
"Question: What is 75 minus 64?
Answer:",11,11,,True
"Question: What is 64 minus 64?
Answer:",0,0,,True
"Question: What is 88 minus 51?
Answer:",37,37,,True
"Question: What is 62 minus 36?
Answer:",26,26,,True
"Question: What is 6 minus 72?
Answer:",-66,66,,False
"Question: What is 67 minus 42?
Answer:",25,25,,True
"Question: What is 69 minus 76?
Answer:",-7,7,,False
"Question: What is 48 minus 34?
Answer:",14,14,,True
"Question: What is 56 minus 10?
Answer:",46,46,,True
"Question: What is 96 minus 43?
Answer:",53,53,,True
"Question: What is 65 minus 41?
Answer:",24,24,,True
"Question: What is 86 minus 16?
Answer:",70,70,,True
"Question: What is 60 minus 6?
Answer:",54,54,,True
"Question: What is 16 minus 76?
Answer:",-60,60,,False
"Question: What is 98 minus 72?
Answer:",26,26,,True
"Question: What is 41 minus 0?
Answer:",41,41,,True
"Question: What is 23 minus 8?
Answer:",15,15,,True
"Question: What is 86 minus 41?
Answer:",45,45,,True
"Question: What is 35 minus 70?
Answer:",-35,35,,False
"Question: What is 88 minus 7?
Answer:",81,81,,True
"Question: What is 23 minus 42?
Answer:",-19,19,,False
"Question: What is 57 minus 90?
Answer:",-33,33,,False
"Question: What is 9 minus 36?
Answer:",-27,27,,False
"Question: What is 68 minus 14?
Answer:",54,54,,True
"Question: What is 12 minus 37?
Answer:",-25,25,,False
"Question: What is 10 minus 36?
Answer:",-26,26,,False
"Question: What is 53 minus 28?
Answer:",25,25,,True
"Question: What is 0 minus 73?
Answer:",-73,73,,False
"Question: What is 27 minus 55?
Answer:",-28,28,,False
"Question: What is 20 minus 8?
Answer:",12,12,,True
"Question: What is 34 minus 96?
Answer:",-62,62,,False
"Question: What is 27 minus 54?
Answer:",-27,27,,False
"Question: What is 84 minus 10?
Answer:",74,74,,True
"Question: What is 1 minus 52?
Answer:",-51,51,,False
"Question: What is 95 minus 87?
Answer:",8,8,,True
"Question: What is 19 minus 16?
Answer:",3,3,,True
"Question: What is 79 minus 62?
Answer:",17,17,,True
"Question: What is 54 minus 24?
Answer:",30,30,,True
"Question: What is 94 minus 73?
Answer:",21,21,,True
"Question: What is 44 minus 84?
Answer:",-40,40,,False
"Question: What is 73 minus 67?
Answer:",6,6,,True
"Question: What is 26 minus 29?
Answer:",-3,3,,False
"Question: What is 7 minus 28?
Answer:",-21,21,,False
"Question: What is 2 minus 83?
Answer:",-81,81,,False
"Question: What is 29 minus 66?
Answer:",-37,37,,False
"Question: What is 5 minus 60?
Answer:",-55,55,,False
"Question: What is 32 minus 99?
Answer:",-67,67,,False
"Question: What is 60 minus 2?
Answer:",58,58,,True
"Question: What is 45 minus 48?
Answer:",-3,3,,False
"Question: What is 98 minus 93?
Answer:",5,5,,True
"Question: What is 17 minus 36?
Answer:",-19,29,,False
"Question: What is 7 minus 46?
Answer:",-39,49,,False
"Question: What is 18 minus 6?
Answer:",12,12,,True
"Question: What is 11 minus 98?
Answer:",-87,87,,False
"Question: What is 18 minus 77?
Answer:",-59,69,,False
"Question: What is 43 minus 45?
Answer:",-2,2,,False
"Question: What is 34 minus 97?
Answer:",-63,63,,False
"Question: What is 57 minus 52?
Answer:",5,52,,False
"Question: What is 77 minus 65?
Answer:",12,12,,True
"Question: What is 84 minus 32?
Answer:",52,52,,True
"Question: What is 67 minus 72?
Answer:",-5,5,,False
"Question: What is 64 minus 14?
Answer:",50,50,,True
"Question: What is 79 minus 32?
Answer:",47,47,,True
"Question: What is 79 minus 81?
Answer:",-2,2,,False
"Question: What is 23 minus 18?
Answer:",5,5,,True
"Question: What is 35 minus 99?
Answer:",-64,64,,False
"Question: What is 14 minus 9?
Answer:",5,5,,True
"Question: What is 41 minus 81?
Answer:",-40,40,,False
"Question: What is 64 minus 60?
Answer:",4,4,,True
"Question: What is 45 minus 33?
Answer:",12,2,,False
"Question: What is 51 minus 17?
Answer:",34,34,,True
"Question: What is 4 minus 16?
Answer:",-12,12,,False
"Question: What is 73 minus 56?
Answer:",17,17,,True
"Question: What is 77 minus 1?
Answer:",76,76,,True
"Question: What is 92 minus 46?
Answer:",46,46,,True
"Question: What is 28 minus 87?
Answer:",-59,59,,False
"Question: What is 90 minus 9?
Answer:",81,81,,True
