question,expected_answer,model_answer,question_type,correct
"Question: What is 73 minus 78?
Answer:",-5,-5,,True
"Question: What is 4 minus 49?
Answer:",-45,45,,False
"Question: What is 50 minus 63?
Answer:",-13,13,,False
"Question: What is 73 minus 79?
Answer:",-6,-6,,True
"Question: What is 50 minus 38?
Answer:",12,12,,True
"Question: What is 63 minus 45?
Answer:",18,18,,True
"Question: What is 55 minus 82?
Answer:",-27,-27,,True
"Question: What is 78 minus 57?
Answer:",21,21,,True
"Question: What is 77 minus 35?
Answer:",42,42,,True
"Question: What is 18 minus 46?
Answer:",-28,-28,,True
"Question: What is 88 minus 88?
Answer:",0,0,,True
"Question: What is 68 minus 28?
Answer:",40,40,,True
"Question: What is 9 minus 46?
Answer:",-37,37,,False
"Question: What is 45 minus 87?
Answer:",-42,-42,,True
"Question: What is 48 minus 50?
Answer:",-2,-2,,True
"Question: What is 46 minus 0?
Answer:",46,46,,True
"Question: What is 90 minus 85?
Answer:",5,15,,False
"Question: What is 95 minus 89?
Answer:",6,6,,True
"Question: What is 17 minus 51?
Answer:",-34,-34,,True
"Question: What is 28 minus 52?
Answer:",-24,-24,,True
"Question: What is 88 minus 7?
Answer:",81,81,,True
"Question: What is 19 minus 5?
Answer:",14,14,,True
"Question: What is 50 minus 90?
Answer:",-40,40,,False
"Question: What is 67 minus 83?
Answer:",-16,-16,,True
"Question: What is 41 minus 19?
Answer:",22,20,,False
"Question: What is 52 minus 39?
Answer:",13,11,,False
"Question: What is 43 minus 34?
Answer:",9,19,,False
"Question: What is 10 minus 18?
Answer:",-8,8,,False
"Question: What is 90 minus 55?
Answer:",35,35,,True
"Question: What is 75 minus 77?
Answer:",-2,-2,,True
"Question: What is 5 minus 42?
Answer:",-37,17,,False
"Question: What is 89 minus 70?
Answer:",19,19,,True
"Question: What is 86 minus 44?
Answer:",42,44,,False
"Question: What is 86 minus 82?
Answer:",4,6,,False
"Question: What is 13 minus 8?
Answer:",5,5,,True
"Question: What is 51 minus 91?
Answer:",-40,40,,False
"Question: What is 20 minus 84?
Answer:",-64,-64,,True
"Question: What is 42 minus 24?
Answer:",18,20,,False
"Question: What is 67 minus 4?
Answer:",63,63,,True
"Question: What is 15 minus 85?
Answer:",-70,-70,,True
"Question: What is 67 minus 55?
Answer:",12,12,,True
"Question: What is 59 minus 11?
Answer:",48,48,,True
"Question: What is 79 minus 51?
Answer:",28,28,,True
"Question: What is 67 minus 6?
Answer:",61,61,,True
"Question: What is 44 minus 83?
Answer:",-39,-39,,True
"Question: What is 58 minus 71?
Answer:",-13,-8,,False
"Question: What is 60 minus 19?
Answer:",41,41,,True
"Question: What is 16 minus 14?
Answer:",2,2,,True
"Question: What is 77 minus 76?
Answer:",1,1,,True
"Question: What is 34 minus 56?
Answer:",-22,-22,,True
"Question: What is 99 minus 57?
Answer:",42,42,,True
"Question: What is 51 minus 73?
Answer:",-22,22,,False
"Question: What is 27 minus 85?
Answer:",-58,-58,,True
"Question: What is 95 minus 43?
Answer:",52,52,,True
"Question: What is 54 minus 51?
Answer:",3,3,,True
"Question: What is 88 minus 95?
Answer:",-7,-7,,True
"Question: What is 80 minus 17?
Answer:",63,63,,True
"Question: What is 77 minus 19?
Answer:",58,68,,False
"Question: What is 66 minus 22?
Answer:",44,44,,True
"Question: What is 3 minus 79?
Answer:",-76,-76,,True
"Question: What is 99 minus 13?
Answer:",86,86,,True
"Question: What is 88 minus 25?
Answer:",63,63,,True
"Question: What is 3 minus 62?
Answer:",-59,-69,,False
"Question: What is 41 minus 81?
Answer:",-40,-40,,True
"Question: What is 17 minus 37?
Answer:",-20,-20,,True
"Question: What is 14 minus 46?
Answer:",-32,-32,,True
