question,expected_answer,model_answer,question_type,correct
"Question: What is (3 * 3) - 6?
Answer:",3,3,,True
"Question: What is (4 * 9) * 2?
Answer:",72,72,,True
"Question: What is (2 * 9) + 6?
Answer:",24,24,,True
"Question: What is (7 * 8) * 1?
Answer:",56,56,,True
"Question: What is (4 + 6) * 3?
Answer:",30,30,,True
"Question: What is (5 + 3) * 2?
Answer:",16,16,,True
"Question: What is (8 + 8) - 2?
Answer:",14,14,,True
"Question: What is (6 - 9) - 2?
Answer:",-5,6,,False
"Question: What is (2 + 8) + 4?
Answer:",14,16,,False
"Question: What is (9 * 9) + 7?
Answer:",88,88,,True
"Question: What is (3 * 4) + 1?
Answer:",13,13,,True
"Question: What is (3 * 2) * 5?
Answer:",30,30,,True
"Question: What is (3 * 2) + 1?
Answer:",7,7,,True
"Question: What is (8 + 4) * 5?
Answer:",60,60,,True
"Question: What is (8 + 7) + 3?
Answer:",18,18,,True
"Question: What is (8 + 7) * 7?
Answer:",105,105,,True
"Question: What is (5 * 1) + 7?
Answer:",12,12,,True
"Question: What is (7 + 9) - 2?
Answer:",14,14,,True
"Question: What is (7 - 7) - 3?
Answer:",-3,3,,False
"Question: What is (3 + 2) * 4?
Answer:",20,20,,True
"Question: What is (6 * 4) - 2?
Answer:",22,22,,True
"Question: What is (4 * 9) - 3?
Answer:",33,33,,True
"Question: What is (8 - 5) - 7?
Answer:",-4,4,,False
"Question: What is (8 - 3) + 6?
Answer:",11,11,,True
"Question: What is (2 * 9) - 3?
Answer:",15,15,,True
"Question: What is (2 * 7) + 6?
Answer:",20,20,,True
"Question: What is (2 - 1) * 4?
Answer:",4,4,,True
"Question: What is (5 - 2) * 6?
Answer:",18,18,,True
"Question: What is (4 - 7) * 2?
Answer:",-6,6,,False
"Question: What is (5 * 5) + 7?
Answer:",32,32,,True
"Question: What is (9 + 2) * 9?
Answer:",99,99,,True
"Question: What is (4 + 8) + 9?
Answer:",21,21,,True
"Question: What is (4 + 2) - 5?
Answer:",1,1,,True
"Question: What is (1 + 1) * 1?
Answer:",2,2,,True
"Question: What is (8 * 5) * 1?
Answer:",40,40,,True
"Question: What is (6 - 7) - 9?
Answer:",-10,6,,False
"Question: What is (2 * 7) - 1?
Answer:",13,13,,True
"Question: What is (2 - 8) - 1?
Answer:",-7,8,,False
"Question: What is (4 * 6) - 9?
Answer:",15,15,,True
"Question: What is (3 + 1) + 2?
Answer:",6,6,,True
"Question: What is (8 * 1) * 3?
Answer:",24,24,,True
"Question: What is (7 - 4) + 4?
Answer:",7,7,,True
"Question: What is (2 + 6) * 6?
Answer:",48,48,,True
"Question: What is (1 - 9) - 9?
Answer:",-17,17,,False
"Question: What is (1 * 9) + 3?
Answer:",12,12,,True
"Question: What is (6 * 3) - 2?
Answer:",16,16,,True
"Question: What is (5 * 6) - 4?
Answer:",26,26,,True
"Question: What is (2 + 1) * 7?
Answer:",21,21,,True
"Question: What is (6 * 3) - 6?
Answer:",12,12,,True
"Question: What is (5 - 8) * 4?
Answer:",-12,27,,False
"Question: What is (9 - 8) - 9?
Answer:",-8,8,,False
"Question: What is (9 + 9) - 7?
Answer:",11,11,,True
"Question: What is (3 * 9) * 3?
Answer:",81,81,,True
"Question: What is (7 + 8) - 8?
Answer:",7,7,,True
"Question: What is (9 - 5) + 8?
Answer:",12,12,,True
"Question: What is (5 + 5) - 8?
Answer:",2,2,,True
"Question: What is (3 + 2) + 7?
Answer:",12,12,,True
"Question: What is (4 - 5) + 3?
Answer:",2,2,,True
"Question: What is (6 * 9) - 7?
Answer:",47,47,,True
"Question: What is (3 * 7) * 2?
Answer:",42,42,,True
"Question: What is (1 - 9) * 6?
Answer:",-48,48,,False
"Question: What is (3 + 9) + 7?
Answer:",19,19,,True
"Question: What is (6 - 3) - 1?
Answer:",2,2,,True
"Question: What is (1 * 9) - 8?
Answer:",1,1,,True
"Question: What is (9 - 9) * 7?
Answer:",0,0,,True
"Question: What is (4 - 1) - 5?
Answer:",-2,2,,False
