question,expected_answer,model_answer,question_type,correct
"Question: What is 67 plus 88?
Answer:",155,155,,True
"Question: What is 38 plus 98?
Answer:",136,136,,True
"Question: What is 82 plus 64?
Answer:",146,146,,True
"Question: What is 12 plus 63?
Answer:",75,75,,True
"Question: What is 60 plus 44?
Answer:",104,104,,True
"Question: What is 17 plus 99?
Answer:",116,116,,True
"Question: What is 54 plus 57?
Answer:",111,111,,True
"Question: What is 3 plus 27?
Answer:",30,30,,True
"Question: What is 61 plus 94?
Answer:",155,155,,True
"Question: What is 14 plus 30?
Answer:",44,44,,True
"Question: What is 45 plus 40?
Answer:",85,85,,True
"Question: What is 6 plus 39?
Answer:",45,45,,True
"Question: What is 55 plus 7?
Answer:",62,62,,True
"Question: What is 21 plus 74?
Answer:",95,95,,True
"Question: What is 17 plus 48?
Answer:",65,65,,True
"Question: What is 64 plus 29?
Answer:",93,93,,True
"Question: What is 65 plus 63?
Answer:",128,138,,False
"Question: What is 50 plus 6?
Answer:",56,56,,True
"Question: What is 5 plus 34?
Answer:",39,39,,True
"Question: What is 31 plus 94?
Answer:",125,125,,True
"Question: What is 98 plus 50?
Answer:",148,148,,True
"Question: What is 17 plus 71?
Answer:",88,98,,False
"Question: What is 27 plus 94?
Answer:",121,121,,True
"Question: What is 66 plus 99?
Answer:",165,165,,True
"Question: What is 36 plus 25?
Answer:",61,51,,False
"Question: What is 45 plus 10?
Answer:",55,55,,True
"Question: What is 54 plus 77?
Answer:",131,131,,True
"Question: What is 86 plus 40?
Answer:",126,126,,True
"Question: What is 91 plus 31?
Answer:",122,122,,True
"Question: What is 71 plus 49?
Answer:",120,110,,False
"Question: What is 10 plus 95?
Answer:",105,105,,True
"Question: What is 31 plus 38?
Answer:",69,69,,True
"Question: What is 84 plus 98?
Answer:",182,182,,True
"Question: What is 79 plus 2?
Answer:",81,81,,True
"Question: What is 70 plus 33?
Answer:",103,103,,True
"Question: What is 4 plus 36?
Answer:",40,40,,True
"Question: What is 46 plus 14?
Answer:",60,50,,False
"Question: What is 10 plus 69?
Answer:",79,79,,True
"Question: What is 40 plus 91?
Answer:",131,131,,True
"Question: What is 65 plus 59?
Answer:",124,124,,True
"Question: What is 85 plus 80?
Answer:",165,165,,True
"Question: What is 21 plus 32?
Answer:",53,53,,True
"Question: What is 54 plus 23?
Answer:",77,77,,True
"Question: What is 47 plus 43?
Answer:",90,90,,True
"Question: What is 56 plus 90?
Answer:",146,146,,True
"Question: What is 9 plus 17?
Answer:",26,26,,True
"Question: What is 53 plus 56?
Answer:",109,109,,True
"Question: What is 47 plus 62?
Answer:",109,119,,False
"Question: What is 58 plus 23?
Answer:",81,81,,True
"Question: What is 70 plus 85?
Answer:",155,155,,True
"Question: What is 90 plus 2?
Answer:",92,92,,True
"Question: What is 55 plus 60?
Answer:",115,115,,True
"Question: What is 34 plus 36?
Answer:",70,60,,False
"Question: What is 66 plus 81?
Answer:",147,147,,True
"Question: What is 66 plus 85?
Answer:",151,151,,True
"Question: What is 97 plus 55?
Answer:",152,152,,True
"Question: What is 83 plus 60?
Answer:",143,143,,True
"Question: What is 2 plus 6?
Answer:",8,8,,True
"Question: What is 95 plus 96?
Answer:",191,191,,True
"Question: What is 41 plus 15?
Answer:",56,56,,True
"Question: What is 53 plus 65?
Answer:",118,118,,True
"Question: What is 36 plus 37?
Answer:",73,43,,False
"Question: What is 62 plus 44?
Answer:",106,106,,True
"Question: What is 35 plus 40?
Answer:",75,75,,True
"Question: What is 69 plus 12?
Answer:",81,81,,True
"Question: What is 81 plus 39?
Answer:",120,110,,False
"Question: What is 96 plus 30?
Answer:",126,126,,True
"Question: What is 57 plus 56?
Answer:",113,123,,False
"Question: What is 67 plus 75?
Answer:",142,142,,True
"Question: What is 44 plus 17?
Answer:",61,61,,True
"Question: What is 75 plus 37?
Answer:",112,112,,True
"Question: What is 23 plus 69?
Answer:",92,92,,True
"Question: What is 85 plus 16?
Answer:",101,101,,True
"Question: What is 7 plus 1?
Answer:",8,8,,True
"Question: What is 33 plus 85?
Answer:",118,118,,True
"Question: What is 53 plus 48?
Answer:",101,101,,True
"Question: What is 20 plus 0?
Answer:",20,20,,True
"Question: What is 0 plus 6?
Answer:",6,6,,True
"Question: What is 95 plus 53?
Answer:",148,148,,True
"Question: What is 93 plus 27?
Answer:",120,110,,False
"Question: What is 29 plus 48?
Answer:",77,77,,True
"Question: What is 75 plus 62?
Answer:",137,137,,True
"Question: What is 24 plus 1?
Answer:",25,25,,True
"Question: What is 71 plus 72?
Answer:",143,143,,True
"Question: What is 29 plus 64?
Answer:",93,93,,True
"Question: What is 69 plus 54?
Answer:",123,123,,True
"Question: What is 94 plus 8?
Answer:",102,172,,False
"Question: What is 61 plus 11?
Answer:",72,72,,True
"Question: What is 98 plus 13?
Answer:",111,111,,True
"Question: What is 88 plus 87?
Answer:",175,175,,True
"Question: What is 92 plus 57?
Answer:",149,149,,True
"Question: What is 41 plus 93?
Answer:",134,134,,True
"Question: What is 69 plus 86?
Answer:",155,155,,True
"Question: What is 13 plus 10?
Answer:",23,23,,True
"Question: What is 4 plus 98?
Answer:",102,102,,True
"Question: What is 90 plus 54?
Answer:",144,144,,True
"Question: What is 77 plus 59?
Answer:",136,136,,True
"Question: What is 6 plus 31?
Answer:",37,37,,True
"Question: What is 97 plus 0?
Answer:",97,97,,True
"Question: What is 2 plus 31?
Answer:",33,33,,True
"Question: What is 43 plus 97?
Answer:",140,140,,True
"Question: What is 85 plus 73?
Answer:",158,158,,True
"Question: What is 23 plus 39?
Answer:",62,62,,True
"Question: What is 14 plus 4?
Answer:",18,18,,True
"Question: What is 89 plus 28?
Answer:",117,117,,True
"Question: What is 31 plus 23?
Answer:",54,54,,True
"Question: What is 45 plus 15?
Answer:",60,60,,True
"Question: What is 79 plus 12?
Answer:",91,81,,False
"Question: What is 54 plus 16?
Answer:",70,70,,True
