question,expected_answer,model_answer,question_type,correct
"Question: What is 36 times 2?
Answer:",72,72,,True
"Question: What is 77 times 62?
Answer:",4774,499,,False
"Question: What is 18 times 34?
Answer:",612,682,,False
"Question: What is 33 times 87?
Answer:",2871,2619,,False
"Question: What is 79 times 77?
Answer:",6083,5733,,False
"Question: What is 97 times 30?
Answer:",2910,3510,,False
"Question: What is 81 times 93?
Answer:",7533,7383,,False
"Question: What is 78 times 7?
Answer:",546,576,,False
"Question: What is 45 times 10?
Answer:",450,450,,True
"Question: What is 18 times 62?
Answer:",1116,108,,False
"Question: What is 63 times 24?
Answer:",1512,1512,,True
"Question: What is 59 times 31?
Answer:",1829,1829,,True
"Question: What is 31 times 79?
Answer:",2449,2009,,False
"Question: What is 28 times 63?
Answer:",1764,1784,,False
"Question: What is 7 times 82?
Answer:",574,576,,False
"Question: What is 8 times 32?
Answer:",256,256,,True
"Question: What is 86 times 33?
Answer:",2838,2838,,True
"Question: What is 64 times 25?
Answer:",1600,1280,,False
"Question: What is 33 times 53?
Answer:",1749,1999,,False
"Question: What is 56 times 31?
Answer:",1736,1736,,True
"Question: What is 31 times 34?
Answer:",1054,994,,False
"Question: What is 4 times 95?
Answer:",380,380,,True
"Question: What is 86 times 24?
Answer:",2064,2064,,True
"Question: What is 19 times 9?
Answer:",171,171,,True
"Question: What is 68 times 77?
Answer:",5236,4904,,False
"Question: What is 39 times 75?
Answer:",2925,2875,,False
"Question: What is 54 times 77?
Answer:",4158,3982,,False
"Question: What is 34 times 32?
Answer:",1088,1024,,False
"Question: What is 94 times 84?
Answer:",7896,7956,,False
"Question: What is 38 times 97?
Answer:",3686,3686,,True
"Question: What is 82 times 25?
Answer:",2050,2050,,True
"Question: What is 77 times 23?
Answer:",1771,1771,,True
"Question: What is 20 times 9?
Answer:",180,180,,True
"Question: What is 86 times 38?
Answer:",3268,3268,,True
"Question: What is 42 times 18?
Answer:",756,756,,True
"Question: What is 67 times 77?
Answer:",5159,4799,,False
"Question: What is 18 times 52?
Answer:",936,916,,False
"Question: What is 4 times 24?
Answer:",96,96,,True
"Question: What is 88 times 30?
Answer:",2640,2640,,True
"Question: What is 86 times 27?
Answer:",2322,2322,,True
"Question: What is 70 times 71?
Answer:",4970,4970,,True
"Question: What is 31 times 83?
Answer:",2573,2383,,False
"Question: What is 50 times 78?
Answer:",3900,3800,,False
"Question: What is 59 times 22?
Answer:",1298,1308,,False
"Question: What is 77 times 71?
Answer:",5467,5593,,False
"Question: What is 19 times 83?
Answer:",1577,1577,,True
"Question: What is 79 times 29?
Answer:",2291,2191,,False
"Question: What is 4 times 47?
Answer:",188,238,,False
"Question: What is 2 times 35?
Answer:",70,70,,True
"Question: What is 91 times 90?
Answer:",8190,8090,,False
"Question: What is 30 times 35?
Answer:",1050,900,,False
"Question: What is 78 times 45?
Answer:",3510,3510,,True
"Question: What is 38 times 23?
Answer:",874,874,,True
"Question: What is 71 times 97?
Answer:",6887,6003,,False
"Question: What is 20 times 61?
Answer:",1220,1220,,True
"Question: What is 67 times 81?
Answer:",5427,5512,,False
"Question: What is 36 times 27?
Answer:",972,972,,True
"Question: What is 37 times 38?
Answer:",1406,1406,,True
"Question: What is 88 times 24?
Answer:",2112,2112,,True
"Question: What is 22 times 47?
Answer:",1034,1104,,False
"Question: What is 5 times 63?
Answer:",315,315,,True
"Question: What is 32 times 7?
Answer:",224,216,,False
"Question: What is 10 times 42?
Answer:",420,420,,True
"Question: What is 27 times 81?
Answer:",2187,2187,,True
"Question: What is 78 times 35?
Answer:",2730,2479,,False
"Question: What is 87 times 81?
Answer:",7047,7563,,False
"Question: What is 61 times 14?
Answer:",854,744,,False
"Question: What is 66 times 52?
Answer:",3432,3992,,False
"Question: What is 17 times 69?
Answer:",1173,1093,,False
"Question: What is 81 times 77?
Answer:",6237,5887,,False
"Question: What is 8 times 29?
Answer:",232,176,,False
"Question: What is 81 times 30?
Answer:",2430,2430,,True
"Question: What is 89 times 5?
Answer:",445,474,,False
"Question: What is 42 times 33?
Answer:",1386,1304,,False
"Question: What is 81 times 70?
Answer:",5670,5680,,False
"Question: What is 5 times 86?
Answer:",430,430,,True
"Question: What is 40 times 35?
Answer:",1400,1400,,True
"Question: What is 72 times 18?
Answer:",1296,1248,,False
"Question: What is 1 times 12?
Answer:",12,12,,True
"Question: What is 83 times 65?
Answer:",5395,5245,,False
"Question: What is 8 times 15?
Answer:",120,120,,True
"Question: What is 28 times 17?
Answer:",476,446,,False
"Question: What is 18 times 12?
Answer:",216,216,,True
"Question: What is 99 times 57?
Answer:",5643,5621,,False
"Question: What is 64 times 21?
Answer:",1344,128,,False
"Question: What is 46 times 31?
Answer:",1426,1426,,True
"Question: What is 53 times 98?
Answer:",5194,4744,,False
"Question: What is 17 times 37?
Answer:",629,619,,False
