question,expected_answer,model_answer,question_type,correct
"Question: What is 8999 minus 4490?
Answer:",4509,1299,,False
"Question: What is 636 minus 52610?
Answer:",-51974,1019,,False
"Question: What is 33699 minus 68525?
Answer:",-34826,336,,False
"Question: What is 74624 minus 65590?
Answer:",9034,65590,,False
"Question: What is 95393 minus 65533?
Answer:",29860,953,,False
"Question: What is 80632 minus 49552?
Answer:",31080,806,,False
"Question: What is 71674 minus 42231?
Answer:",29443,42231,,False
"Question: What is 2035 minus 56664?
Answer:",-54629,566,,False
"Question: What is 93273 minus 4084?
Answer:",89189,4,,False
"Question: What is 79681 minus 45527?
Answer:",34154,796,,False
"Question: What is 24230 minus 63643?
Answer:",-39413,10223,,False
"Question: What is 42336 minus 71659?
Answer:",-29323,100,,False
"Question: What is 66320 minus 28173?
Answer:",38147,28173,,False
"Question: What is 42884 minus 28915?
Answer:",13969,428,,False
"Question: What is 20372 minus 34696?
Answer:",-14324,203,,False
"Question: What is 88965 minus 92805?
Answer:",-3840,889,,False
"Question: What is 90700 minus 92425?
Answer:",-1725,907,,False
"Question: What is 39349 minus 47226?
Answer:",-7877,393,,False
"Question: What is 9748 minus 15305?
Answer:",-5557,15,,False
"Question: What is 34005 minus 16874?
Answer:",17131,340,,False
"Question: What is 73025 minus 60129?
Answer:",12896,10,,False
"Question: What is 19732 minus 78740?
Answer:",-59008,197,,False
"Question: What is 28388 minus 75245?
Answer:",-46857,283,,False
"Question: What is 5741 minus 86722?
Answer:",-80981,1002,,False
"Question: What is 41724 minus 26999?
Answer:",14725,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,False
"Question: What is 58447 minus 23193?
Answer:",35254,584,,False
"Question: What is 24215 minus 45021?
Answer:",-20806,4,,False
"Question: What is 39048 minus 46082?
Answer:",-7034,46082,,False
"Question: What is 96123 minus 72744?
Answer:",23379,7274,,False
"Question: What is 19270 minus 52075?
Answer:",-32805,192,,False
"Question: What is 35917 minus 15311?
Answer:",20606,359,,False
"Question: What is 40114 minus 99499?
Answer:",-59385,99499,,False
"Question: What is 88807 minus 8311?
Answer:",80496,8,,False
"Question: What is 98848 minus 84230?
Answer:",14618,988,,False
"Question: What is 5134 minus 21381?
Answer:",-16247,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,False
"Question: What is 97371 minus 77166?
Answer:",20205,973,,False
"Question: What is 91361 minus 22423?
Answer:",68938,913,,False
"Question: What is 64438 minus 35770?
Answer:",28668,35770,,False
"Question: What is 81419 minus 42563?
Answer:",38856,814,,False
"Question: What is 9839 minus 7844?
Answer:",1995,983,,False
"Question: What is 66533 minus 21923?
Answer:",44610,665,,False
"Question: What is 776 minus 52014?
Answer:",-51238,776,,False
"Question: What is 30205 minus 93617?
Answer:",-63412,302,,False
"Question: What is 51609 minus 63568?
Answer:",-11959,123456,,False
"Question: What is 21956 minus 97945?
Answer:",-75989,219,,False
"Question: What is 64659 minus 42419?
Answer:",22240,42419,,False
"Question: What is 42042 minus 51362?
Answer:",-9320,42042,,False
"Question: What is 1741 minus 51478?
Answer:",-49737,17,,False
"Question: What is 76597 minus 80110?
Answer:",-3513,765,,False
"Question: What is 77677 minus 34511?
Answer:",43166,776,,False
"Question: What is 38368 minus 55277?
Answer:",-16909,38368,,False
"Question: What is 72944 minus 59990?
Answer:",12954,729,,False
"Question: What is 70318 minus 90652?
Answer:",-20334,90652,,False
"Question: What is 19218 minus 17014?
Answer:",2204,192,,False
"Question: What is 38178 minus 84568?
Answer:",-46390,38,,False
"Question: What is 26399 minus 49325?
Answer:",-22926,263,,False
"Question: What is 72952 minus 51887?
Answer:",21065,100000,,False
"Question: What is 8660 minus 86561?
Answer:",-77901,86561,,False
"Question: What is 19100 minus 16389?
Answer:",2711,10000,,False
"Question: What is 2948 minus 87877?
Answer:",-84929,87,,False
