question,expected_answer,model_answer,question_type,correct
"Question: What is 93197 plus 32596?
Answer:",125793,125793,,True
"Question: What is 68166 plus 81923?
Answer:",150089,150089,,True
"Question: What is 33778 plus 16395?
Answer:",50173,50173,,True
"Question: What is 98995 plus 96738?
Answer:",195733,195733,,True
"Question: What is 41857 plus 10483?
Answer:",52340,52340,,True
"Question: What is 37689 plus 81479?
Answer:",119168,119168,,True
"Question: What is 40410 plus 72942?
Answer:",113352,113352,,True
"Question: What is 65421 plus 24941?
Answer:",90362,90362,,True
"Question: What is 46065 plus 97322?
Answer:",143387,143387,,True
"Question: What is 44445 plus 94110?
Answer:",138555,138555,,True
"Question: What is 5729 plus 93349?
Answer:",99078,98078,,False
"Question: What is 94974 plus 70541?
Answer:",165515,165415,,False
"Question: What is 69530 plus 72171?
Answer:",141701,141691,,False
"Question: What is 24210 plus 70049?
Answer:",94259,94269,,False
"Question: What is 50571 plus 29773?
Answer:",80344,80344,,True
"Question: What is 73542 plus 49026?
Answer:",122568,122578,,False
"Question: What is 63511 plus 49238?
Answer:",112749,112759,,False
"Question: What is 31812 plus 95723?
Answer:",127535,127535,,True
"Question: What is 70082 plus 21479?
Answer:",91561,91561,,True
"Question: What is 28723 plus 50368?
Answer:",79091,89191,,False
"Question: What is 22072 plus 71400?
Answer:",93472,93472,,True
"Question: What is 83869 plus 91797?
Answer:",175666,175666,,True
"Question: What is 9332 plus 43074?
Answer:",52406,52406,,True
"Question: What is 20703 plus 89784?
Answer:",110487,110587,,False
"Question: What is 2020 plus 17107?
Answer:",19127,17327,,False
"Question: What is 35576 plus 4273?
Answer:",39849,39849,,True
"Question: What is 49677 plus 44446?
Answer:",94123,94123,,True
"Question: What is 38187 plus 22165?
Answer:",60352,60352,,True
"Question: What is 32544 plus 9854?
Answer:",42398,42398,,True
"Question: What is 63380 plus 2381?
Answer:",65761,65761,,True
"Question: What is 35643 plus 97868?
Answer:",133511,133511,,True
"Question: What is 15730 plus 59141?
Answer:",74871,74871,,True
"Question: What is 23003 plus 65281?
Answer:",88284,88284,,True
"Question: What is 92445 plus 13383?
Answer:",105828,105828,,True
"Question: What is 87788 plus 50578?
Answer:",138366,138366,,True
"Question: What is 62759 plus 35309?
Answer:",98068,98068,,True
"Question: What is 65665 plus 26460?
Answer:",92125,92125,,True
"Question: What is 13266 plus 17998?
Answer:",31264,31264,,True
"Question: What is 54538 plus 25638?
Answer:",80176,80176,,True
"Question: What is 60603 plus 52270?
Answer:",112873,112873,,True
"Question: What is 44550 plus 7810?
Answer:",52360,52360,,True
"Question: What is 697 plus 55702?
Answer:",56399,56399,,True
"Question: What is 95392 plus 95731?
Answer:",191123,191123,,True
"Question: What is 87011 plus 61209?
Answer:",148220,148220,,True
"Question: What is 57700 plus 99156?
Answer:",156856,156856,,True
"Question: What is 57557 plus 31973?
Answer:",89530,89530,,True
"Question: What is 1747 plus 11293?
Answer:",13040,12040,,False
"Question: What is 60626 plus 60114?
Answer:",120740,120740,,True
"Question: What is 9013 plus 75975?
Answer:",84988,85088,,False
"Question: What is 13550 plus 12413?
Answer:",25963,25963,,True
"Question: What is 1367 plus 30661?
Answer:",32028,32028,,True
"Question: What is 11198 plus 34356?
Answer:",45554,45554,,True
"Question: What is 23489 plus 79108?
Answer:",102597,102597,,True
"Question: What is 4357 plus 99236?
Answer:",103593,103593,,True
"Question: What is 18920 plus 55790?
Answer:",74710,74710,,True
"Question: What is 51254 plus 47023?
Answer:",98277,98277,,True
"Question: What is 78722 plus 4552?
Answer:",83274,83274,,True
"Question: What is 81135 plus 98477?
Answer:",179612,189612,,False
"Question: What is 35110 plus 98168?
Answer:",133278,133278,,True
"Question: What is 63301 plus 33324?
Answer:",96625,96625,,True
"Question: What is 18284 plus 73099?
Answer:",91383,81383,,False
"Question: What is 40411 plus 45084?
Answer:",85495,85495,,True
"Question: What is 28110 plus 2751?
Answer:",30861,30861,,True
"Question: What is 44266 plus 45732?
Answer:",89998,90098,,False
