question,expected_answer,model_answer,question_type,correct
"Question: What is (4 - 2) + 7?
Answer:",9,9,,True
"Question: What is (1 + 8) - 8?
Answer:",1,1,,True
"Question: What is (4 - 3) - 4?
Answer:",-3,-3,,True
"Question: What is (1 + 2) - 7?
Answer:",-4,-4,,True
"Question: What is (1 * 3) - 6?
Answer:",-3,-3,,True
"Question: What is (3 + 7) * 2?
Answer:",20,20,,True
"Question: What is (8 * 5) - 9?
Answer:",31,31,,True
"Question: What is (4 + 7) * 6?
Answer:",66,66,,True
"Question: What is (9 - 7) * 1?
Answer:",2,2,,True
"Question: What is (4 * 8) * 8?
Answer:",256,256,,True
"Question: What is (7 - 5) * 1?
Answer:",2,2,,True
"Question: What is (8 * 9) - 6?
Answer:",66,66,,True
"Question: What is (6 * 3) - 3?
Answer:",15,15,,True
"Question: What is (9 * 5) - 8?
Answer:",37,37,,True
"Question: What is (7 + 1) * 4?
Answer:",32,32,,True
"Question: What is (7 * 1) * 1?
Answer:",7,7,,True
"Question: What is (3 + 9) * 3?
Answer:",36,36,,True
"Question: What is (3 * 5) - 6?
Answer:",9,9,,True
"Question: What is (5 - 3) - 9?
Answer:",-7,-7,,True
"Question: What is (8 * 9) + 5?
Answer:",77,77,,True
"Question: What is (4 + 6) * 2?
Answer:",20,20,,True
"Question: What is (8 * 3) * 3?
Answer:",72,72,,True
"Question: What is (9 + 8) + 7?
Answer:",24,24,,True
"Question: What is (6 - 7) * 3?
Answer:",-3,9,,False
"Question: What is (7 - 2) - 8?
Answer:",-3,-3,,True
"Question: What is (3 + 7) + 9?
Answer:",19,16,,False
"Question: What is (5 * 1) - 8?
Answer:",-3,-3,,True
"Question: What is (5 + 2) - 2?
Answer:",5,5,,True
"Question: What is (5 * 5) + 4?
Answer:",29,29,,True
"Question: What is (8 - 1) * 3?
Answer:",21,21,,True
"Question: What is (8 * 4) + 8?
Answer:",40,40,,True
"Question: What is (5 - 5) - 2?
Answer:",-2,-2,,True
"Question: What is (7 * 5) - 4?
Answer:",31,31,,True
"Question: What is (6 + 1) - 7?
Answer:",0,0,,True
"Question: What is (1 * 5) + 9?
Answer:",14,14,,True
"Question: What is (4 * 7) * 9?
Answer:",252,252,,True
"Question: What is (5 + 2) * 5?
Answer:",35,35,,True
"Question: What is (5 * 7) * 4?
Answer:",140,140,,True
"Question: What is (6 - 5) + 7?
Answer:",8,8,,True
"Question: What is (3 - 6) * 3?
Answer:",-9,-9,,True
"Question: What is (4 - 5) * 4?
Answer:",-4,-4,,True
"Question: What is (9 + 4) - 3?
Answer:",10,10,,True
"Question: What is (7 + 4) + 7?
Answer:",18,18,,True
"Question: What is (5 * 7) * 1?
Answer:",35,35,,True
"Question: What is (7 - 5) + 5?
Answer:",7,7,,True
"Question: What is (1 * 4) * 8?
Answer:",32,32,,True
"Question: What is (7 * 1) - 3?
Answer:",4,4,,True
"Question: What is (9 + 7) - 8?
Answer:",8,8,,True
"Question: What is (2 + 7) + 7?
Answer:",16,18,,False
"Question: What is (9 * 6) - 5?
Answer:",49,49,,True
"Question: What is (5 + 8) - 1?
Answer:",12,12,,True
"Question: What is (7 - 6) + 6?
Answer:",7,7,,True
"Question: What is (1 * 1) * 4?
Answer:",4,4,,True
"Question: What is (7 * 1) * 3?
Answer:",21,21,,True
"Question: What is (5 * 3) + 8?
Answer:",23,23,,True
"Question: What is (4 - 5) * 3?
Answer:",-3,-11,,False
"Question: What is (8 - 9) - 4?
Answer:",-5,-1,,False
"Question: What is (1 - 7) * 8?
Answer:",-48,-48,,True
"Question: What is (2 - 4) + 6?
Answer:",4,4,,True
"Question: What is (4 - 9) * 2?
Answer:",-10,2,,False
"Question: What is (4 - 1) - 2?
Answer:",1,1,,True
"Question: What is (4 * 8) - 9?
Answer:",23,23,,True
"Question: What is (7 - 9) - 1?
Answer:",-3,-3,,True
"Question: What is (3 + 1) - 5?
Answer:",-1,-1,,True
"Question: What is (4 + 1) * 6?
Answer:",30,30,,True
"Question: What is (7 * 4) + 8?
Answer:",36,36,,True
"Question: What is (5 - 3) * 5?
Answer:",10,10,,True
"Question: What is (5 - 9) * 4?
Answer:",-16,-31,,False
"Question: What is (9 * 4) - 2?
Answer:",34,34,,True
"Question: What is (8 + 8) * 8?
Answer:",128,128,,True
"Question: What is (6 * 9) + 2?
Answer:",56,56,,True
"Question: What is (9 - 8) - 9?
Answer:",-8,-8,,True
"Question: What is (6 + 9) * 3?
Answer:",45,45,,True
"Question: What is (3 * 4) * 6?
Answer:",72,2,,False
"Question: What is (9 - 9) * 6?
Answer:",0,0,,True
"Question: What is (9 - 1) * 3?
Answer:",24,24,,True
"Question: What is (5 + 3) - 6?
Answer:",2,2,,True
"Question: What is (4 + 7) + 9?
Answer:",20,20,,True
"Question: What is (9 * 2) * 1?
Answer:",18,18,,True
"Question: What is (7 + 1) + 3?
Answer:",11,11,,True
"Question: What is (6 * 1) * 4?
Answer:",24,24,,True
"Question: What is (8 * 8) - 5?
Answer:",59,59,,True
"Question: What is (8 + 1) + 4?
Answer:",13,9,,False
"Question: What is (8 + 5) * 5?
Answer:",65,65,,True
"Question: What is (4 * 3) - 8?
Answer:",4,4,,True
"Question: What is (1 + 9) + 3?
Answer:",13,13,,True
"Question: What is (8 + 2) - 8?
Answer:",2,2,,True
"Question: What is (8 * 7) - 8?
Answer:",48,48,,True
"Question: What is (4 - 7) * 2?
Answer:",-6,-6,,True
"Question: What is (1 + 9) - 6?
Answer:",4,4,,True
"Question: What is (9 + 4) - 9?
Answer:",4,4,,True
"Question: What is (1 + 6) + 6?
Answer:",13,13,,True
"Question: What is (3 * 5) + 8?
Answer:",23,23,,True
"Question: What is (4 * 6) - 9?
Answer:",15,15,,True
"Question: What is (8 + 1) + 6?
Answer:",15,15,,True
"Question: What is (2 + 6) + 7?
Answer:",15,15,,True
"Question: What is (9 * 7) * 9?
Answer:",567,567,,True
"Question: What is (2 * 5) + 6?
Answer:",16,16,,True
"Question: What is (5 - 3) * 9?
Answer:",18,18,,True
"Question: What is (2 - 7) - 4?
Answer:",-9,7,,False
"Question: What is (5 - 1) * 9?
Answer:",36,36,,True
"Question: What is (9 - 8) + 5?
Answer:",6,6,,True
"Question: What is (7 - 7) - 9?
Answer:",-9,-9,,True
"Question: What is (8 + 8) + 3?
Answer:",19,19,,True
"Question: What is (4 * 9) * 8?
Answer:",288,288,,True
"Question: What is (2 * 8) - 5?
Answer:",11,11,,True
"Question: What is (7 + 6) + 4?
Answer:",17,17,,True
"Question: What is (5 * 3) + 7?
Answer:",22,22,,True
"Question: What is (9 - 6) + 7?
Answer:",10,10,,True
"Question: What is (8 * 8) - 8?
Answer:",56,56,,True
"Question: What is (8 + 9) * 1?
Answer:",17,17,,True
"Question: What is (6 + 2) * 2?
Answer:",16,16,,True
"Question: What is (5 - 8) * 3?
Answer:",-9,-29,,False
"Question: What is (1 - 2) - 1?
Answer:",-2,2,,False
"Question: What is (5 * 9) + 2?
Answer:",47,47,,True
"Question: What is (2 * 9) - 1?
Answer:",17,17,,True
"Question: What is (9 * 7) + 7?
Answer:",70,70,,True
"Question: What is (7 - 4) + 4?
Answer:",7,7,,True
"Question: What is (7 + 9) + 6?
Answer:",22,22,,True
"Question: What is (8 + 9) + 8?
Answer:",25,25,,True
"Question: What is (3 - 5) - 9?
Answer:",-11,-11,,True
"Question: What is (2 + 5) * 1?
Answer:",7,7,,True
"Question: What is (3 + 8) + 7?
Answer:",18,18,,True
"Question: What is (4 * 7) * 4?
Answer:",112,196,,False
"Question: What is (4 - 9) * 6?
Answer:",-30,-50,,False
"Question: What is (7 + 4) - 3?
Answer:",8,8,,True
"Question: What is (4 * 5) * 1?
Answer:",20,20,,True
"Question: What is (6 * 3) * 1?
Answer:",18,18,,True
"Question: What is (6 * 5) * 3?
Answer:",90,90,,True
"Question: What is (3 * 4) + 9?
Answer:",21,21,,True
"Question: What is (8 - 2) - 1?
Answer:",5,5,,True
"Question: What is (4 + 9) * 1?
Answer:",13,13,,True
"Question: What is (6 * 5) - 2?
Answer:",28,28,,True
"Question: What is (1 * 9) + 6?
Answer:",15,15,,True
