question,expected_answer,model_answer,question_type,correct
"Question: What is 36 times 2?
Answer:",72,36,,False
"Question: What is 77 times 62?
Answer:",4774,62,,False
"Question: What is 18 times 34?
Answer:",612,608,,False
"Question: What is 33 times 87?
Answer:",2871,2121,,False
"Question: What is 79 times 77?
Answer:",6083,45628,,False
"Question: What is 97 times 30?
Answer:",2910,30000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,False
"Question: What is 81 times 93?
Answer:",7533,93,,False
"Question: What is 78 times 7?
Answer:",546,7,,False
"Question: What is 45 times 10?
Answer:",450,450,,True
"Question: What is 18 times 62?
Answer:",1116,1128,,False
"Question: What is 63 times 24?
Answer:",1512,121600,,False
"Question: What is 59 times 31?
Answer:",1829,1999,,False
"Question: What is 31 times 79?
Answer:",2449,1879,,False
"Question: What is 28 times 63?
Answer:",1764,1568,,False
"Question: What is 7 times 82?
Answer:",574,5682,,False
"Question: What is 8 times 32?
Answer:",256,240,,False
"Question: What is 86 times 33?
Answer:",2838,33086,,False
"Question: What is 64 times 25?
Answer:",1600,1224,,False
"Question: What is 33 times 53?
Answer:",1749,300,,False
"Question: What is 56 times 31?
Answer:",1736,18285,,False
"Question: What is 31 times 34?
Answer:",1054,1214,,False
"Question: What is 4 times 95?
Answer:",380,395,,False
"Question: What is 86 times 24?
Answer:",2064,21688,,False
"Question: What is 19 times 9?
Answer:",171,199,,False
"Question: What is 68 times 77?
Answer:",5236,3456,,False
"Question: What is 39 times 75?
Answer:",2925,2895,,False
"Question: What is 54 times 77?
Answer:",4158,32140,,False
"Question: What is 34 times 32?
Answer:",1088,1280,,False
"Question: What is 94 times 84?
Answer:",7896,7280,,False
"Question: What is 38 times 97?
Answer:",3686,2898,,False
"Question: What is 82 times 25?
Answer:",2050,2080,,False
"Question: What is 77 times 23?
Answer:",1771,072,,False
"Question: What is 20 times 9?
Answer:",180,180,,True
"Question: What is 86 times 38?
Answer:",3268,4320,,False
"Question: What is 42 times 18?
Answer:",756,648,,False
"Question: What is 67 times 77?
Answer:",5159,4256,,False
"Question: What is 18 times 52?
Answer:",936,1000,,False
"Question: What is 4 times 24?
Answer:",96,160,,False
"Question: What is 88 times 30?
Answer:",2640,30000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,False
"Question: What is 86 times 27?
Answer:",2322,408,,False
"Question: What is 70 times 71?
Answer:",4970,4900,,False
"Question: What is 31 times 83?
Answer:",2573,216000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,False
"Question: What is 50 times 78?
Answer:",3900,3250,,False
"Question: What is 59 times 22?
Answer:",1298,100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,False
"Question: What is 77 times 71?
Answer:",5467,77777777,,False
"Question: What is 19 times 83?
Answer:",1577,83,,False
"Question: What is 79 times 29?
Answer:",2291,809,,False
"Question: What is 4 times 47?
Answer:",188,4,,False
"Question: What is 2 times 35?
Answer:",70,75,,False
"Question: What is 91 times 90?
Answer:",8190,8100,,False
"Question: What is 30 times 35?
Answer:",1050,1000,,False
"Question: What is 78 times 45?
Answer:",3510,2880,,False
"Question: What is 38 times 23?
Answer:",874,1024,,False
"Question: What is 71 times 97?
Answer:",6887,0,,False
"Question: What is 20 times 61?
Answer:",1220,1200,,False
"Question: What is 67 times 81?
Answer:",5427,44360,,False
"Question: What is 36 times 27?
Answer:",972,1000,,False
"Question: What is 37 times 38?
Answer:",1406,1596,,False
"Question: What is 88 times 24?
Answer:",2112,2160,,False
"Question: What is 22 times 47?
Answer:",1034,1000,,False
"Question: What is 5 times 63?
Answer:",315,325,,False
"Question: What is 32 times 7?
Answer:",224,212,,False
"Question: What is 10 times 42?
Answer:",420,42,,False
"Question: What is 27 times 81?
Answer:",2187,81,,False
"Question: What is 78 times 35?
Answer:",2730,2100,,False
"Question: What is 87 times 81?
Answer:",7047,7281,,False
"Question: What is 61 times 14?
Answer:",854,844,,False
"Question: What is 66 times 52?
Answer:",3432,332000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,False
"Question: What is 17 times 69?
Answer:",1173,1117,,False
"Question: What is 81 times 77?
Answer:",6237,77,,False
"Question: What is 8 times 29?
Answer:",232,216,,False
"Question: What is 81 times 30?
Answer:",2430,30,,False
"Question: What is 89 times 5?
Answer:",445,565,,False
"Question: What is 42 times 33?
Answer:",1386,1264,,False
"Question: What is 81 times 70?
Answer:",5670,7,,False
"Question: What is 5 times 86?
Answer:",430,456,,False
"Question: What is 40 times 35?
Answer:",1400,1250,,False
"Question: What is 72 times 18?
Answer:",1296,1048,,False
"Question: What is 1 times 12?
Answer:",12,12,,True
"Question: What is 83 times 65?
Answer:",5395,65,,False
"Question: What is 8 times 15?
Answer:",120,115,,False
"Question: What is 28 times 17?
Answer:",476,456,,False
"Question: What is 18 times 12?
Answer:",216,240,,False
"Question: What is 99 times 57?
Answer:",5643,57099,,False
"Question: What is 64 times 21?
Answer:",1344,1280,,False
"Question: What is 46 times 31?
Answer:",1426,31,,False
"Question: What is 53 times 98?
Answer:",5194,5300,,False
"Question: What is 17 times 37?
Answer:",629,625,,False
"Question: What is 34 times 30?
Answer:",1020,1000,,False
"Question: What is 48 times 19?
Answer:",912,8192,,False
"Question: What is 0 times 6?
Answer:",0,0,,True
"Question: What is 57 times 9?
Answer:",513,570,,False
"Question: What is 8 times 85?
Answer:",680,725,,False
"Question: What is 44 times 46?
Answer:",2024,2128,,False
"Question: What is 90 times 38?
Answer:",3420,362880,,False
"Question: What is 6 times 91?
Answer:",546,5491,,False
"Question: What is 45 times 70?
Answer:",3150,2250,,False
"Question: What is 44 times 6?
Answer:",264,216,,False
"Question: What is 63 times 43?
Answer:",2709,2120,,False
"Question: What is 86 times 60?
Answer:",5160,548000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,False
"Question: What is 5 times 19?
Answer:",95,99,,False
"Question: What is 39 times 77?
Answer:",3003,2899,,False
"Question: What is 78 times 92?
Answer:",7176,7800,,False
"Question: What is 61 times 10?
Answer:",610,610,,True
"Question: What is 12 times 26?
Answer:",312,26,,False
"Question: What is 77 times 21?
Answer:",1617,21077,,False
"Question: What is 53 times 71?
Answer:",3763,920,,False
"Question: What is 27 times 92?
Answer:",2484,3692,,False
"Question: What is 22 times 57?
Answer:",1254,12557,,False
"Question: What is 69 times 57?
Answer:",3933,57,,False
"Question: What is 64 times 96?
Answer:",6144,492000,,False
