question,expected_answer,model_answer,question_type,correct
"Question: What is 6001 minus 8852?
Answer:",-2851,600,,False
"Question: What is 7052 minus 5398?
Answer:",1654,1000,,False
"Question: What is 5540 minus 7542?
Answer:",-2002,7542,,False
"Question: What is 1652 minus 4876?
Answer:",-3224,165,,False
"Question: What is 2456 minus 8584?
Answer:",-6128,85,,False
"Question: What is 6684 minus 3599?
Answer:",3085,224,,False
"Question: What is 1553 minus 6945?
Answer:",-5392,155,,False
"Question: What is 5262 minus 7247?
Answer:",-1985,724,,False
"Question: What is 237 minus 7999?
Answer:",-7762,1,,False
"Question: What is 6740 minus 3733?
Answer:",3007,373,,False
"Question: What is 6625 minus 8435?
Answer:",-1810,843,,False
"Question: What is 8541 minus 102?
Answer:",8439,85,,False
"Question: What is 6909 minus 2697?
Answer:",4212,690,,False
"Question: What is 363 minus 2493?
Answer:",-2130,2493,,False
"Question: What is 6196 minus 8103?
Answer:",-1907,1000,,False
"Question: What is 168 minus 3778?
Answer:",-3610,3778,,False
"Question: What is 7367 minus 4615?
Answer:",2752,736,,False
"Question: What is 5446 minus 3896?
Answer:",1550,2,,False
"Question: What is 9909 minus 7680?
Answer:",2229,990,,False
"Question: What is 7430 minus 7566?
Answer:",-136,1000,,False
"Question: What is 3451 minus 9825?
Answer:",-6374,1,,False
"Question: What is 4053 minus 433?
Answer:",3620,1,,False
"Question: What is 7948 minus 5262?
Answer:",2686,794,,False
"Question: What is 4277 minus 827?
Answer:",3450,600,,False
"Question: What is 3058 minus 768?
Answer:",2290,768,,False
"Question: What is 193 minus 1045?
Answer:",-852,100,,False
"Question: What is 967 minus 2747?
Answer:",-1780,96,,False
"Question: What is 9172 minus 3761?
Answer:",5411,3761,,False
"Question: What is 8189 minus 6633?
Answer:",1556,818,,False
"Question: What is 9054 minus 61?
Answer:",8993,2,,False
"Question: What is 4865 minus 670?
Answer:",4195,670,,False
"Question: What is 290 minus 9392?
Answer:",-9102,290,,False
"Question: What is 5486 minus 8700?
Answer:",-3214,548,,False
"Question: What is 4181 minus 1213?
Answer:",2968,121,,False
"Question: What is 5706 minus 2127?
Answer:",3579,2127,,False
"Question: What is 326 minus 2732?
Answer:",-2406,1,,False
"Question: What is 2055 minus 2380?
Answer:",-325,1,,False
"Question: What is 3357 minus 761?
Answer:",2596,761,,False
"Question: What is 6560 minus 517?
Answer:",6043,51,,False
"Question: What is 548 minus 9946?
Answer:",-9398,9946,,False
"Question: What is 8624 minus 611?
Answer:",8013,5768,,False
"Question: What is 1932 minus 6598?
Answer:",-4666,193,,False
"Question: What is 4413 minus 5712?
Answer:",-1299,1,,False
"Question: What is 4611 minus 8985?
Answer:",-4374,461,,False
