question,expected_answer,model_answer,question_type,correct
"Question: What is 11 times 82?
Answer:",902,8,,False
"Question: What is 20 times 10?
Answer:",200,200,,True
"Question: What is 30 times 74?
Answer:",2220,2220,,True
"Question: What is 2 times 6?
Answer:",12,12,,True
"Question: What is 61 times 19?
Answer:",1159,1149,,False
"Question: What is 35 times 8?
Answer:",280,280,,True
"Question: What is 70 times 89?
Answer:",6230,6230,,True
"Question: What is 77 times 23?
Answer:",1771,1771,,True
"Question: What is 46 times 52?
Answer:",2392,2372,,False
"Question: What is 18 times 27?
Answer:",486,462,,False
"Question: What is 24 times 97?
Answer:",2328,18,,False
"Question: What is 87 times 13?
Answer:",1131,1131,,True
"Question: What is 33 times 96?
Answer:",3168,3498,,False
"Question: What is 18 times 46?
Answer:",828,333333333333333,,False
"Question: What is 58 times 36?
Answer:",2088,2,,False
"Question: What is 34 times 32?
Answer:",1088,3,,False
"Question: What is 19 times 83?
Answer:",1577,1557,,False
"Question: What is 8 times 44?
Answer:",352,7,,False
"Question: What is 21 times 57?
Answer:",1197,3,,False
"Question: What is 92 times 51?
Answer:",4692,92,,False
"Question: What is 38 times 98?
Answer:",3724,4092,,False
"Question: What is 78 times 22?
Answer:",1716,1936,,False
"Question: What is 59 times 63?
Answer:",3717,3817,,False
"Question: What is 59 times 40?
Answer:",2360,2360,,True
"Question: What is 69 times 78?
Answer:",5382,5142,,False
"Question: What is 90 times 82?
Answer:",7380,7560,,False
"Question: What is 6 times 84?
Answer:",504,504,,True
"Question: What is 98 times 21?
Answer:",2058,2188,,False
"Question: What is 56 times 26?
Answer:",1456,1396,,False
"Question: What is 97 times 52?
Answer:",5044,4974,,False
"Question: What is 58 times 1?
Answer:",58,58,,True
"Question: What is 51 times 8?
Answer:",408,408,,True
"Question: What is 38 times 13?
Answer:",494,4,,False
"Question: What is 65 times 18?
Answer:",1170,1170,,True
"Question: What is 90 times 45?
Answer:",4050,4500,,False
"Question: What is 47 times 72?
Answer:",3384,2,,False
"Question: What is 77 times 71?
Answer:",5467,5407,,False
"Question: What is 15 times 7?
Answer:",105,105,,True
"Question: What is 72 times 97?
Answer:",6984,7004,,False
"Question: What is 9 times 85?
Answer:",765,765,,True
"Question: What is 89 times 3?
Answer:",267,267,,True
"Question: What is 11 times 81?
Answer:",891,909,,False
"Question: What is 45 times 74?
Answer:",3330,3510,,False
"Question: What is 30 times 21?
Answer:",630,630,,True
"Question: What is 25 times 48?
Answer:",1200,3,,False
"Question: What is 22 times 32?
Answer:",704,684,,False
"Question: What is 54 times 1?
Answer:",54,54,,True
"Question: What is 71 times 60?
Answer:",4260,4260,,True
"Question: What is 91 times 78?
Answer:",7098,91,,False
"Question: What is 44 times 47?
Answer:",2068,2018,,False
"Question: What is 71 times 24?
Answer:",1704,1684,,False
"Question: What is 35 times 40?
Answer:",1400,1400,,True
"Question: What is 57 times 9?
Answer:",513,550,,False
"Question: What is 31 times 79?
Answer:",2449,2589,,False
"Question: What is 45 times 8?
Answer:",360,360,,True
"Question: What is 86 times 53?
Answer:",4558,4648,,False
"Question: What is 66 times 52?
Answer:",3432,3392,,False
"Question: What is 95 times 30?
Answer:",2850,2945,,False
"Question: What is 34 times 11?
Answer:",374,34,,False
"Question: What is 79 times 30?
Answer:",2370,2370,,True
"Question: What is 69 times 57?
Answer:",3933,3843,,False
"Question: What is 97 times 82?
Answer:",7954,7914,,False
"Question: What is 40 times 0?
Answer:",0,0,,True
"Question: What is 49 times 22?
Answer:",1078,1038,,False
"Question: What is 39 times 19?
Answer:",741,681,,False
"Question: What is 49 times 48?
Answer:",2352,2312,,False
"Question: What is 52 times 83?
Answer:",4316,4466,,False
"Question: What is 53 times 12?
Answer:",636,624,,False
"Question: What is 68 times 27?
Answer:",1836,1746,,False
"Question: What is 97 times 62?
Answer:",6014,6634,,False
"Question: What is 85 times 21?
Answer:",1785,1735,,False
"Question: What is 40 times 36?
Answer:",1440,1440,,True
"Question: What is 15 times 23?
Answer:",345,345,,True
"Question: What is 5 times 13?
Answer:",65,65,,True
"Question: What is 38 times 54?
Answer:",2052,89,,False
"Question: What is 42 times 0?
Answer:",0,0,,True
"Question: What is 96 times 8?
Answer:",768,832,,False
"Question: What is 39 times 7?
Answer:",273,273,,True
"Question: What is 14 times 39?
Answer:",546,526,,False
