question,expected_answer,model_answer,question_type,correct
"Question: What is 8785 plus 6801?
Answer:",15586,15586,,True
"Question: What is 4645 plus 8383?
Answer:",13028,13028,,True
"Question: What is 5954 plus 9641?
Answer:",15595,15595,,True
"Question: What is 7213 plus 9265?
Answer:",16478,16478,,True
"Question: What is 3780 plus 7486?
Answer:",11266,11266,,True
"Question: What is 2069 plus 7920?
Answer:",9989,10089,,False
"Question: What is 4859 plus 2267?
Answer:",7126,7126,,True
"Question: What is 751 plus 312?
Answer:",1063,1063,,True
"Question: What is 7151 plus 7385?
Answer:",14536,14536,,True
"Question: What is 2499 plus 8895?
Answer:",11394,11394,,True
"Question: What is 1865 plus 986?
Answer:",2851,2853,,False
"Question: What is 2466 plus 7482?
Answer:",9948,9948,,True
"Question: What is 1908 plus 7539?
Answer:",9447,9447,,True
"Question: What is 2552 plus 5926?
Answer:",8478,8488,,False
"Question: What is 1330 plus 8271?
Answer:",9601,9501,,False
"Question: What is 879 plus 9038?
Answer:",9917,9917,,True
"Question: What is 7410 plus 8207?
Answer:",15617,15617,,True
"Question: What is 2688 plus 5549?
Answer:",8237,32377,,False
"Question: What is 6349 plus 396?
Answer:",6745,6745,,True
"Question: What is 9694 plus 6093?
Answer:",15787,15787,,True
"Question: What is 8048 plus 8266?
Answer:",16314,16314,,True
"Question: What is 2946 plus 2087?
Answer:",5033,4033,,False
"Question: What is 8528 plus 3450?
Answer:",11978,11978,,True
"Question: What is 5691 plus 9724?
Answer:",15415,15415,,True
"Question: What is 8110 plus 3964?
Answer:",12074,12074,,True
"Question: What is 3667 plus 4835?
Answer:",8502,8502,,True
"Question: What is 8776 plus 2325?
Answer:",11101,11101,,True
"Question: What is 1161 plus 1550?
Answer:",2711,2711,,True
"Question: What is 9872 plus 9018?
Answer:",18890,18990,,False
"Question: What is 6913 plus 337?
Answer:",7250,7040,,False
"Question: What is 5723 plus 1113?
Answer:",6836,6836,,True
"Question: What is 5589 plus 8204?
Answer:",13793,13893,,False
"Question: What is 1854 plus 9236?
Answer:",11090,10090,,False
"Question: What is 9328 plus 2947?
Answer:",12275,12275,,True
"Question: What is 4887 plus 4161?
Answer:",9048,8048,,False
"Question: What is 2981 plus 7601?
Answer:",10582,10582,,True
"Question: What is 3387 plus 2810?
Answer:",6197,6197,,True
"Question: What is 3917 plus 8806?
Answer:",12723,12723,,True
"Question: What is 8841 plus 6158?
Answer:",14999,14099,,False
"Question: What is 551 plus 1213?
Answer:",1764,1764,,True
"Question: What is 1326 plus 9142?
Answer:",10468,10468,,True
"Question: What is 5981 plus 5104?
Answer:",11085,11085,,True
"Question: What is 2883 plus 7974?
Answer:",10857,10857,,True
"Question: What is 2426 plus 368?
Answer:",2794,2894,,False
"Question: What is 8394 plus 8336?
Answer:",16730,16730,,True
"Question: What is 1542 plus 7477?
Answer:",9019,8029,,False
"Question: What is 7694 plus 8784?
Answer:",16478,16478,,True
"Question: What is 9882 plus 98?
Answer:",9980,9970,,False
"Question: What is 9559 plus 9726?
Answer:",19285,19285,,True
"Question: What is 4821 plus 8421?
Answer:",13242,13242,,True
"Question: What is 7527 plus 3475?
Answer:",11002,11002,,True
"Question: What is 8537 plus 2003?
Answer:",10540,10540,,True
"Question: What is 9891 plus 2016?
Answer:",11907,11907,,True
"Question: What is 9582 plus 304?
Answer:",9886,9886,,True
"Question: What is 5756 plus 8158?
Answer:",13914,13914,,True
"Question: What is 9440 plus 2675?
Answer:",12115,12115,,True
"Question: What is 498 plus 5259?
Answer:",5757,5757,,True
"Question: What is 7552 plus 3886?
Answer:",11438,11438,,True
"Question: What is 4055 plus 9107?
Answer:",13162,13162,,True
"Question: What is 3245 plus 3817?
Answer:",7062,7062,,True
"Question: What is 1152 plus 9115?
Answer:",10267,10267,,True
"Question: What is 4157 plus 338?
Answer:",4495,4595,,False
"Question: What is 3130 plus 9365?
Answer:",12495,12495,,True
"Question: What is 1766 plus 7743?
Answer:",9509,9509,,True
"Question: What is 7489 plus 8892?
Answer:",16381,16381,,True
"Question: What is 5533 plus 7498?
Answer:",13031,13031,,True
"Question: What is 5551 plus 4889?
Answer:",10440,10440,,True
"Question: What is 8850 plus 1228?
Answer:",10078,9078,,False
"Question: What is 5601 plus 7739?
Answer:",13340,13340,,True
"Question: What is 3806 plus 1270?
Answer:",5076,5076,,True
"Question: What is 2053 plus 4814?
Answer:",6867,6867,,True
"Question: What is 6643 plus 685?
Answer:",7328,7328,,True
"Question: What is 2625 plus 4474?
Answer:",7099,3079,,False
"Question: What is 6440 plus 8585?
Answer:",15025,15025,,True
"Question: What is 16 plus 7093?
Answer:",7109,7109,,True
"Question: What is 4942 plus 1418?
Answer:",6360,6360,,True
"Question: What is 489 plus 2538?
Answer:",3027,3027,,True
"Question: What is 9727 plus 2036?
Answer:",11763,11763,,True
"Question: What is 8289 plus 7596?
Answer:",15885,15885,,True
"Question: What is 4998 plus 4743?
Answer:",9741,9741,,True
"Question: What is 8623 plus 5211?
Answer:",13834,13834,,True
"Question: What is 3094 plus 3166?
Answer:",6260,6260,,True
"Question: What is 6763 plus 3262?
Answer:",10025,9025,,False
"Question: What is 3859 plus 1346?
Answer:",5205,5205,,True
"Question: What is 3653 plus 3386?
Answer:",7039,6049,,False
"Question: What is 7663 plus 7955?
Answer:",15618,15618,,True
"Question: What is 9493 plus 9458?
Answer:",18951,18951,,True
"Question: What is 361 plus 9961?
Answer:",10322,10222,,False
"Question: What is 3222 plus 5899?
Answer:",9121,9121,,True
"Question: What is 3535 plus 3609?
Answer:",7144,7144,,True
"Question: What is 9373 plus 1592?
Answer:",10965,11065,,False
"Question: What is 7504 plus 9307?
Answer:",16811,16811,,True
"Question: What is 5252 plus 8832?
Answer:",14084,14084,,True
"Question: What is 6450 plus 4227?
Answer:",10677,10677,,True
"Question: What is 2470 plus 7073?
Answer:",9543,9543,,True
"Question: What is 7142 plus 6397?
Answer:",13539,13539,,True
"Question: What is 7553 plus 4236?
Answer:",11789,11799,,False
"Question: What is 2692 plus 1304?
Answer:",3996,3006,,False
"Question: What is 4706 plus 2242?
Answer:",6948,6948,,True
"Question: What is 9864 plus 7068?
Answer:",16932,16932,,True
"Question: What is 7069 plus 9484?
Answer:",16553,16553,,True
"Question: What is 6055 plus 1123?
Answer:",7178,7178,,True
"Question: What is 1908 plus 2296?
Answer:",4204,4204,,True
"Question: What is 9412 plus 296?
Answer:",9708,9708,,True
"Question: What is 2544 plus 2633?
Answer:",5177,5177,,True
"Question: What is 879 plus 3776?
Answer:",4655,4653,,False
"Question: What is 207 plus 790?
Answer:",997,1097,,False
"Question: What is 3596 plus 5097?
Answer:",8693,8693,,True
"Question: What is 3535 plus 3755?
Answer:",7290,7390,,False
"Question: What is 57 plus 1776?
Answer:",1833,1833,,True
"Question: What is 6739 plus 4864?
Answer:",11603,11603,,True
"Question: What is 3931 plus 2302?
Answer:",6233,6233,,True
"Question: What is 4943 plus 3291?
Answer:",8234,8234,,True
"Question: What is 9214 plus 2151?
Answer:",11365,11365,,True
"Question: What is 8778 plus 8453?
Answer:",17231,17221,,False
"Question: What is 3020 plus 5732?
Answer:",8752,8752,,True
"Question: What is 7561 plus 4612?
Answer:",12173,12173,,True
"Question: What is 7195 plus 9282?
Answer:",16477,16477,,True
"Question: What is 849 plus 5101?
Answer:",5950,5940,,False
"Question: What is 2227 plus 6997?
Answer:",9224,9224,,True
"Question: What is 5198 plus 427?
Answer:",5625,5625,,True
"Question: What is 9393 plus 3749?
Answer:",13142,13142,,True
"Question: What is 4153 plus 2431?
Answer:",6584,6584,,True
"Question: What is 9904 plus 6306?
Answer:",16210,16210,,True
"Question: What is 7946 plus 5972?
Answer:",13918,13918,,True
"Question: What is 1299 plus 1893?
Answer:",3192,3192,,True
"Question: What is 176 plus 3529?
Answer:",3705,4205,,False
"Question: What is 2290 plus 3819?
Answer:",6109,6119,,False
