question,expected_answer,model_answer,question_type,correct
"Question: What is 697 plus 811?
Answer:",1508,1508,,True
"Question: What is 607 plus 509?
Answer:",1116,1116,,True
"Question: What is 812 plus 264?
Answer:",1076,1076,,True
"Question: What is 985 plus 600?
Answer:",1585,1585,,True
"Question: What is 399 plus 254?
Answer:",653,653,,True
"Question: What is 514 plus 474?
Answer:",988,1088,,False
"Question: What is 616 plus 233?
Answer:",849,849,,True
"Question: What is 133 plus 102?
Answer:",235,235,,True
"Question: What is 104 plus 591?
Answer:",695,695,,True
"Question: What is 257 plus 597?
Answer:",854,854,,True
"Question: What is 94 plus 463?
Answer:",557,557,,True
"Question: What is 478 plus 815?
Answer:",1293,1393,,False
"Question: What is 588 plus 765?
Answer:",1353,1353,,True
"Question: What is 836 plus 685?
Answer:",1521,1521,,True
"Question: What is 587 plus 821?
Answer:",1408,1408,,True
"Question: What is 37 plus 570?
Answer:",607,573,,False
"Question: What is 300 plus 791?
Answer:",1091,1091,,True
"Question: What is 202 plus 917?
Answer:",1119,1129,,False
"Question: What is 108 plus 736?
Answer:",844,844,,True
"Question: What is 415 plus 211?
Answer:",626,626,,True
"Question: What is 320 plus 538?
Answer:",858,858,,True
"Question: What is 934 plus 856?
Answer:",1790,1790,,True
"Question: What is 958 plus 773?
Answer:",1731,1731,,True
"Question: What is 115 plus 689?
Answer:",804,704,,False
"Question: What is 278 plus 735?
Answer:",1013,1013,,True
"Question: What is 325 plus 445?
Answer:",770,770,,True
"Question: What is 603 plus 900?
Answer:",1503,1503,,True
"Question: What is 939 plus 729?
Answer:",1668,1668,,True
"Question: What is 873 plus 150?
Answer:",1023,1023,,True
"Question: What is 654 plus 827?
Answer:",1481,1481,,True
"Question: What is 314 plus 511?
Answer:",825,825,,True
"Question: What is 531 plus 506?
Answer:",1037,1037,,True
"Question: What is 664 plus 778?
Answer:",1442,1442,,True
"Question: What is 153 plus 700?
Answer:",853,853,,True
"Question: What is 440 plus 457?
Answer:",897,897,,True
